"","start_date","end_data","status","ip_address","progress","duration_secs","finished","recorded_date","location_lat","location_long","distribution_channel","language","browser","version","operating_system","resolution","ID","age","gender","ethnicity","browser_check","image_rating_results"
"1","2024-07-16 08:00:00","2024-07-16 08:04:47","0","96.83.245.97","100","286","1","2024-07-16 08:04:48","40.1792","-75.1506","anonymous","EN","Chrome","126.0.0.0","Windows NT 10.0","1920x1080","660c6506219c56f73617fd54","30","1","2","pass","exp_stage image11 image12 image13 image14 image21 image22 image23 image24 image31 image32 image33 image34 click trash attn attn_fail rt;main_trial_0 0369.jpg 0882.jpg 0945.jpg 0235.jpg 0756.jpg 0528.jpg 0164.jpg 0490.jpg 0895.jpg 1035.jpg 1097.jpg 0600.jpg 010010001100 000000000000 0 0 20575;main_trial_1 0675.jpg 0215.jpg 0221.jpg 0794.jpg 0696.jpg 0810.jpg 0277.jpg 0014.jpg 0765.jpg 0044.jpg 0392.jpg 0475.jpg 100001001010 000000000000 0 0 5606;main_trial_2 0279.jpg 0068.jpg 0967.jpg 0910.jpg 0739.jpg 0709.jpg 0589.jpg 0541.jpg 0169.jpg 0577.jpg 0755.jpg 0797.jpg 101110000000 000000000000 0 0 3798;main_trial_3 0638.jpg 0309.jpg 0977.jpg 0115.jpg 0387.jpg 0319.jpg 0320.jpg 0402.jpg 0212.jpg 0009.jpg 0292.jpg 0170.jpg 101000110000 000000000000 0 0 32231;main_trial_4 0715.jpg 0097.jpg 0914.jpg 0114.jpg 0660.jpg 1077.jpg 0217.jpg 0873.jpg 1033.jpg 0123.jpg 0085.jpg 0872.jpg 001001011000 000000000000 0 0 6967;main_trial_5 0879.jpg 0791.jpg 0781.jpg 0300.jpg 1006.jpg 0312.jpg 0778.jpg 0440.jpg 0550.jpg 0930.jpg 0223.jpg 0389.jpg 100011001000 000000000000 0 0 3311;main_trial_6 0022.jpg 1101.jpg 0454.jpg 0492.jpg 0832.jpg 0615.jpg 0838.jpg 0881.jpg 0051.jpg 0559.jpg 1065.jpg 0057.jpg 000101110000 000000000000 0 0 7214;main_trial_7 0209.jpg 0034.jpg 0809.jpg 0772.jpg 1075.jpg 0786.jpg 0737.jpg attn30.jpg 0477.jpg 0980.jpg 0107.jpg 0083.jpg 001110001000 000000010000 1 0 7495;main_trial_8 attn05.jpg 0193.jpg 0385.jpg 0372.jpg 0585.jpg 0904.jpg 0211.jpg 0932.jpg 1092.jpg 0670.jpg 0449.jpg 0705.jpg 001011000001 100000000000 1 0 10311;"
"2","2024-07-16 07:56:05","2024-07-16 08:06:44","0","68.72.112.224","100","639","1","2024-07-16 08:06:45","30.3927","-91.0014","anonymous","EN","Chrome","126.0.0.0","Macintosh","1440x900","6689a1fe29a96f94df7e4052","58","2","1","pass","exp_stage image11 image12 image13 image14 image21 image22 image23 image24 image31 image32 image33 image34 click trash attn attn_fail rt;main_trial_0 0223.jpg attn07.jpg 0042.jpg 0970.jpg 0823.jpg 0057.jpg 1078.jpg 0753.jpg 0862.jpg 0235.jpg 0528.jpg 0860.jpg 000100111000 010000000000 1 0 84333;main_trial_1 1070.jpg 0738.jpg 0943.jpg 1023.jpg 0729.jpg 0506.jpg 0969.jpg 1036.jpg 0708.jpg 0667.jpg 0913.jpg 0853.jpg 100011000100 000000000000 0 0 15460;main_trial_2 0258.jpg 1044.jpg 0355.jpg 0728.jpg 0799.jpg 0784.jpg 0576.jpg 0487.jpg 0855.jpg 0962.jpg 0507.jpg 0189.jpg 110011000000 000000000000 0 0 22402;main_trial_3 0226.jpg 0352.jpg 0098.jpg 0219.jpg 0693.jpg 0648.jpg 0141.jpg 0254.jpg 0838.jpg 0902.jpg 0628.jpg 0274.jpg 000011001001 000000000000 0 0 11416;main_trial_4 0803.jpg 0207.jpg 0725.jpg 0723.jpg 0512.jpg 0199.jpg 0956.jpg 0106.jpg 0614.jpg 0298.jpg 0430.jpg 0639.jpg 000100100110 000000000000 0 0 17426;main_trial_5 0059.jpg 0884.jpg 0951.jpg attn34.jpg 0426.jpg 1081.jpg 0401.jpg 0299.jpg 0822.jpg 0231.jpg 0133.jpg 0649.jpg 010001101000 000100000000 1 0 21008;main_trial_6 0297.jpg 0573.jpg 0874.jpg 0344.jpg 0912.jpg 0954.jpg 0905.jpg 0570.jpg 0934.jpg 0196.jpg 0546.jpg 0403.jpg 100100110000 000000000000 0 0 15880;main_trial_7 0381.jpg 0777.jpg 0761.jpg 0163.jpg 0811.jpg 1042.jpg 1038.jpg 0024.jpg 0560.jpg 0184.jpg 0536.jpg 1017.jpg 000011000011 000000000000 0 0 9412;main_trial_8 0687.jpg 1079.jpg 0485.jpg 0216.jpg 0456.jpg 0910.jpg 0101.jpg 0568.jpg 0740.jpg 1087.jpg 0942.jpg 0741.jpg 000011001010 000000000000 0 0 9442;"
"3","2024-07-16 08:04:08","2024-07-16 08:09:41","0","198.44.136.54","100","332","1","2024-07-16 08:09:42","40.7597","-73.981","anonymous","EN","Edge","126.0.0.0","Windows NT 10.0","2560x1440","667f852207db0b23543d1ca2","32","1","4","pass","exp_stage image11 image12 image13 image14 image21 image22 image23 image24 image31 image32 image33 image34 click trash attn attn_fail rt;main_trial_0 0405.jpg 0585.jpg 1101.jpg 0358.jpg 0747.jpg 0579.jpg 0089.jpg 0275.jpg 0549.jpg 0650.jpg 0056.jpg 0057.jpg 010101010000 000000000000 0 0 10647;main_trial_1 0034.jpg 0537.jpg 0683.jpg 0001.jpg 0995.jpg 0737.jpg 0496.jpg 0547.jpg 1050.jpg 0457.jpg 1073.jpg 0738.jpg 011001100000 000000000000 0 0 13969;main_trial_2 0594.jpg 0635.jpg 0048.jpg 0619.jpg 0902.jpg 0253.jpg 0571.jpg 0812.jpg 0288.jpg 0848.jpg 0564.jpg 0270.jpg 000000110110 000000000000 0 0 9841;main_trial_3 1037.jpg 0282.jpg 0161.jpg 0877.jpg 1014.jpg 0188.jpg 0177.jpg 0342.jpg 0751.jpg 0476.jpg attn03.jpg 1024.jpg 010110001000 000000000010 1 0 9389;main_trial_4 0329.jpg 0556.jpg 0918.jpg 0596.jpg 0729.jpg 0691.jpg 0573.jpg 0539.jpg 0659.jpg 0198.jpg 0044.jpg 0986.jpg 111100000000 000000000000 0 0 5965;main_trial_5 0839.jpg 0628.jpg 0023.jpg 0561.jpg 0473.jpg 0106.jpg 0933.jpg 0076.jpg 0698.jpg 0360.jpg 0276.jpg 0682.jpg 100010000101 000000000000 0 0 6860;main_trial_6 0354.jpg 0634.jpg attn12.jpg 0471.jpg 0411.jpg 0494.jpg 0095.jpg 0012.jpg 0225.jpg 0097.jpg 0462.jpg 0054.jpg 110001000010 001000000000 1 0 11734;main_trial_7 0357.jpg 0820.jpg 0688.jpg 1055.jpg 0330.jpg 0617.jpg 0297.jpg 0615.jpg 0790.jpg 0598.jpg 0274.jpg 0730.jpg 001000101010 000000000000 0 0 10999;main_trial_8 1004.jpg 0791.jpg 1080.jpg 0124.jpg 0956.jpg 0098.jpg 0416.jpg 0200.jpg 0519.jpg 0849.jpg 0083.jpg 0981.jpg 011000000101 000000000000 0 0 6931;"
"4","2024-07-16 08:07:22","2024-07-16 08:15:39","0","47.36.39.18","100","496","1","2024-07-16 08:15:40","33.4772","-84.0554","anonymous","EN","Chrome","126.0.0.0","Windows NT 10.0","1920x1200","65c77b00ea091a0562445f2b","30","2","1","pass","exp_stage image11 image12 image13 image14 image21 image22 image23 image24 image31 image32 image33 image34 click trash attn attn_fail rt;main_trial_0 1061.jpg 0547.jpg 0431.jpg 0096.jpg 0773.jpg 0169.jpg 0796.jpg 0643.jpg 1042.jpg 0552.jpg 0060.jpg 0519.jpg 001000101100 000000000000 0 0 18713;main_trial_1 0473.jpg 0342.jpg 0310.jpg 0373.jpg 0233.jpg 0837.jpg 1015.jpg 0595.jpg 0424.jpg 0935.jpg 0141.jpg 0579.jpg 100001001001 000000000000 0 0 13827;main_trial_2 0506.jpg 0618.jpg 0202.jpg 1064.jpg 0055.jpg 0466.jpg 0658.jpg 0726.jpg 0820.jpg 0814.jpg 0094.jpg 0332.jpg 100100100100 000000000000 0 0 16095;main_trial_3 0279.jpg 0817.jpg 0990.jpg 1013.jpg 0911.jpg 0049.jpg 0418.jpg 0105.jpg 0118.jpg attn02.jpg 0991.jpg 0032.jpg 110010100000 000000000100 1 0 24972;main_trial_4 0175.jpg 0439.jpg attn39.jpg 0444.jpg 0365.jpg 0921.jpg 0165.jpg 0950.jpg 0012.jpg 0905.jpg 1072.jpg 0666.jpg 000001000111 001000000000 1 0 10734;main_trial_5 0997.jpg 0577.jpg 1077.jpg 0787.jpg 0807.jpg 0176.jpg 0399.jpg 0079.jpg 0968.jpg 0641.jpg 0720.jpg 0520.jpg 110010001000 000000000000 0 0 14221;main_trial_6 1038.jpg 0442.jpg 0669.jpg 1099.jpg 0254.jpg 0576.jpg 0928.jpg 1094.jpg 0518.jpg 0327.jpg 0242.jpg 0007.jpg 101001100000 000000000000 0 0 19437;main_trial_7 0799.jpg 0916.jpg 0326.jpg 0154.jpg 1006.jpg 0974.jpg 0457.jpg 0238.jpg 0330.jpg 0277.jpg 0831.jpg 0862.jpg 110000000011 000000000000 0 0 9348;main_trial_8 1029.jpg 1021.jpg 0291.jpg 0425.jpg 0305.jpg 0142.jpg 0864.jpg 0160.jpg 0826.jpg 0039.jpg 0180.jpg 0357.jpg 010110001000 000000000000 0 0 19735;"
"5","2024-07-16 08:10:29","2024-07-16 08:18:08","0","174.80.228.106","100","459","1","2024-07-16 08:18:08","36.4038","-78.9706","anonymous","EN","Chrome","126.0.0.0","Windows NT 10.0","1920x1080","65bba4d18a1e43cfbb86d62b","50","1","1","pass","exp_stage image11 image12 image13 image14 image21 image22 image23 image24 image31 image32 image33 image34 click trash attn attn_fail rt;main_trial_0 0182.jpg 0370.jpg 0680.jpg 0335.jpg 0847.jpg 0324.jpg 0296.jpg 0544.jpg 1065.jpg 0217.jpg 0127.jpg 0657.jpg 011100000001 000000000000 0 0 11808;main_trial_1 0406.jpg 0789.jpg 0365.jpg 1072.jpg 0875.jpg 0230.jpg 0664.jpg 0260.jpg 0360.jpg 0803.jpg 0841.jpg 0191.jpg 100100010100 000000000000 0 0 11801;main_trial_2 0462.jpg 0063.jpg 0582.jpg attn19.jpg 0956.jpg 0419.jpg 0996.jpg 0911.jpg 0274.jpg 0860.jpg 0286.jpg 0756.jpg 100011010000 000100000000 1 0 12032;main_trial_3 0838.jpg 0001.jpg 0046.jpg 0200.jpg 0350.jpg 0157.jpg 0693.jpg 1089.jpg 0623.jpg 0088.jpg 0180.jpg 0917.jpg 100010100001 000000000000 0 0 9191;main_trial_4 0378.jpg 0195.jpg 0106.jpg 0473.jpg 0766.jpg 0408.jpg 0530.jpg 0189.jpg attn08.jpg 0722.jpg 0099.jpg 0057.jpg 100101100000 000000001000 1 0 8493;main_trial_5 0686.jpg 0192.jpg 0830.jpg 0329.jpg 0527.jpg 0773.jpg 0187.jpg 0873.jpg 0394.jpg 0476.jpg 0867.jpg 1076.jpg 101100010000 000000000000 0 0 7449;main_trial_6 0794.jpg 0943.jpg 1024.jpg 0438.jpg 0709.jpg 0499.jpg 1005.jpg 1001.jpg 1036.jpg 0283.jpg 0577.jpg 0828.jpg 100000110100 000000000000 0 0 17446;main_trial_7 0918.jpg 0906.jpg 0465.jpg 0735.jpg 0486.jpg 1008.jpg 0416.jpg 0945.jpg 1031.jpg 1029.jpg 0674.jpg 0456.jpg 110100100000 000000000000 0 0 9494;main_trial_8 0034.jpg 0764.jpg 0959.jpg 0939.jpg 0755.jpg 0513.jpg 0149.jpg 0377.jpg 0075.jpg 0491.jpg 0128.jpg 0659.jpg 011100000001 000000000000 0 0 9772;"
"6","2024-07-16 08:15:28","2024-07-16 08:21:47","0","107.137.41.105","100","379","1","2024-07-16 08:21:48","32.5484","-85.4682","anonymous","EN","Edge","126.0.0.0","Windows NT 10.0","2560x1080","66956f9b0b5f7fac68b289a3","47","1","2","pass","exp_stage image11 image12 image13 image14 image21 image22 image23 image24 image31 image32 image33 image34 click trash attn attn_fail rt;main_trial_0 0172.jpg 0903.jpg attn26.jpg 0693.jpg 0498.jpg 0726.jpg 0083.jpg 0511.jpg 0060.jpg 1006.jpg 0514.jpg 0724.jpg 010100010001 001000000000 1 0 14859;main_trial_1 0071.jpg 0415.jpg 0786.jpg 0379.jpg 0838.jpg 0006.jpg 0055.jpg 0438.jpg 1062.jpg 0745.jpg 0674.jpg 0233.jpg 010010000110 000000000000 0 0 10040;main_trial_2 0373.jpg 0598.jpg 0676.jpg 0522.jpg 0321.jpg 0670.jpg 0533.jpg 0750.jpg 0480.jpg 0827.jpg 0578.jpg 0094.jpg 101110000000 000000000000 0 0 11522;main_trial_3 0162.jpg 0991.jpg 0305.jpg 0394.jpg 0799.jpg 0761.jpg 0119.jpg 0934.jpg 0261.jpg 0605.jpg 0707.jpg 0294.jpg 000001010011 000000000000 0 0 7544;main_trial_4 0497.jpg 0595.jpg 1071.jpg 0412.jpg 0192.jpg 0108.jpg 0924.jpg 0352.jpg 0447.jpg 0870.jpg 0012.jpg 0402.jpg 100100000101 000000000000 0 0 11191;main_trial_5 0615.jpg 0133.jpg 0464.jpg attn31.jpg 0586.jpg 0293.jpg 0947.jpg 0503.jpg 0823.jpg 0995.jpg 0219.jpg 0632.jpg 101000100100 000100000000 1 0 16311;main_trial_6 0245.jpg 0806.jpg 0937.jpg 0499.jpg 1005.jpg 0681.jpg 1013.jpg 0504.jpg 0767.jpg 0682.jpg 0017.jpg 1082.jpg 001100010100 000000000000 0 0 8430;main_trial_7 0047.jpg 0271.jpg 0804.jpg 0816.jpg 0309.jpg 0053.jpg 1037.jpg 1095.jpg 0890.jpg 0739.jpg 0104.jpg 0858.jpg 001100000101 000000000000 0 0 7048;main_trial_8 0018.jpg 0375.jpg 0307.jpg 0970.jpg 0562.jpg 0037.jpg 0473.jpg 0225.jpg 0955.jpg 0591.jpg 0302.jpg 1038.jpg 000110000101 000000000000 0 0 7132;"
"7","2024-07-16 08:15:19","2024-07-16 08:22:16","0","40.142.188.130","100","416","1","2024-07-16 08:22:16","40.0732","-82.4017","anonymous","EN","Firefox","128.0","Windows NT 10.0","1920x1080","669030ce58506574f5d1672b","33","1","2","pass","exp_stage image11 image12 image13 image14 image21 image22 image23 image24 image31 image32 image33 image34 click trash attn attn_fail rt;main_trial_0 0914.jpg 0342.jpg 0249.jpg 0025.jpg 0285.jpg 1019.jpg 1089.jpg 0066.jpg 0270.jpg 0428.jpg 0358.jpg 0218.jpg 100010000110 000000000000 0 0 9655;main_trial_1 0543.jpg 1017.jpg 0006.jpg 0322.jpg 0540.jpg 0106.jpg 0648.jpg 0324.jpg 0265.jpg 1073.jpg 0886.jpg 0939.jpg 000000110011 000000000000 0 0 9180;main_trial_2 attn20.jpg 0700.jpg 0022.jpg 0034.jpg 0853.jpg 0293.jpg 0930.jpg 0318.jpg 0748.jpg 0545.jpg 0351.jpg 0142.jpg 010010100010 100000000000 1 0 26420;main_trial_3 0019.jpg 1082.jpg 0357.jpg attn38.jpg 0258.jpg 0240.jpg 1030.jpg 0905.jpg 1064.jpg 0819.jpg 0731.jpg 0030.jpg 010010100010 000100000000 1 0 7911;main_trial_4 0484.jpg 0302.jpg 0770.jpg 0411.jpg 0680.jpg 0375.jpg 0639.jpg 0735.jpg 0440.jpg 0007.jpg 0768.jpg 0423.jpg 101000100001 000000000000 0 0 6924;main_trial_5 1095.jpg 0119.jpg 0588.jpg 0956.jpg 0738.jpg 0526.jpg 0631.jpg 0069.jpg 0544.jpg 0309.jpg 0384.jpg 0184.jpg 000101101000 000000000000 0 0 8840;main_trial_6 0397.jpg 0314.jpg 0532.jpg 0785.jpg 1093.jpg 0571.jpg 0599.jpg 0521.jpg 0559.jpg 0610.jpg 0266.jpg 0137.jpg 010101100000 000000000000 0 0 5121;main_trial_7 0676.jpg 0128.jpg 0882.jpg 0494.jpg 0892.jpg 0474.jpg 0365.jpg 0666.jpg 0002.jpg 0560.jpg 1022.jpg 0431.jpg 101001010000 000000000000 0 0 8182;main_trial_8 0927.jpg 0458.jpg 0928.jpg 0102.jpg 1035.jpg 0773.jpg 0909.jpg 0528.jpg 0195.jpg 0671.jpg 0803.jpg 0402.jpg 101000000110 000000000000 0 0 7062;"
"8","2024-07-16 08:11:25","2024-07-16 08:25:02","0","71.81.47.20","100","816","1","2024-07-16 08:25:02","30.3586","-90.0561","anonymous","EN","Chrome","126.0.0.0","Windows NT 10.0","1536x864","6690354384b71b45e8abcd20","35","1","2","pass","exp_stage image11 image12 image13 image14 image21 image22 image23 image24 image31 image32 image33 image34 click trash attn attn_fail rt;main_trial_0 0845.jpg 0890.jpg 0492.jpg 0234.jpg 0190.jpg 0283.jpg 0240.jpg 0415.jpg 0575.jpg 0487.jpg 0647.jpg 0289.jpg 101000010001 000000000000 0 0 36088;main_trial_1 0999.jpg 0605.jpg 0806.jpg 0254.jpg 0304.jpg 0728.jpg 0930.jpg 0557.jpg attn35.jpg 0713.jpg 0364.jpg 0881.jpg 001000010011 000000001000 1 0 18274;main_trial_2 0741.jpg 0818.jpg 1097.jpg 1103.jpg 1091.jpg 1023.jpg 0223.jpg 0584.jpg 0467.jpg 0061.jpg 0476.jpg 0134.jpg 100101001000 000000000000 0 0 62009;main_trial_3 0830.jpg 0857.jpg 0033.jpg 1047.jpg 0852.jpg 0882.jpg 0075.jpg 0135.jpg 0612.jpg 0168.jpg 0295.jpg 0709.jpg 010001001001 000000000000 0 0 17309;main_trial_4 0266.jpg 0812.jpg 1092.jpg 0060.jpg 0901.jpg 0720.jpg 0088.jpg 0577.jpg 0474.jpg 0094.jpg 0539.jpg 0466.jpg 010000010011 000000000000 0 0 18625;main_trial_5 0133.jpg 0368.jpg 1033.jpg 0165.jpg 0996.jpg 0449.jpg 0250.jpg 0828.jpg 1068.jpg 0604.jpg 0829.jpg 0967.jpg 010010110000 000000000000 0 0 17994;main_trial_6 1095.jpg 0982.jpg 0357.jpg 0987.jpg 0490.jpg 0642.jpg 0614.jpg 0760.jpg 0888.jpg 0716.jpg attn28.jpg 0450.jpg 010100100001 000000000010 1 0 19805;main_trial_7 0290.jpg 1072.jpg 1050.jpg 0123.jpg 0554.jpg 0838.jpg 0317.jpg 0654.jpg 0501.jpg 0952.jpg 0485.jpg 0574.jpg 000001010101 000000000000 0 0 21109;main_trial_8 0388.jpg 1064.jpg 0334.jpg 0625.jpg 0910.jpg 0393.jpg 0131.jpg 0858.jpg 1089.jpg 0478.jpg 0428.jpg 0143.jpg 011010000010 000000000000 0 0 23577;"
"9","2024-07-16 08:18:11","2024-07-16 08:25:36","0","75.64.95.245","100","445","1","2024-07-16 08:25:37","35.229","-89.5155","anonymous","EN","Chrome","126.0.0.0","Macintosh","1680x1050","6691f0208c3cf6bcdaa19afc","26","1","2","pass","exp_stage image11 image12 image13 image14 image21 image22 image23 image24 image31 image32 image33 image34 click trash attn attn_fail rt;main_trial_0 0543.jpg 1035.jpg 0699.jpg 0927.jpg 0557.jpg 0441.jpg 0456.jpg 0920.jpg 0024.jpg 0360.jpg 0122.jpg 0196.jpg 001101100000 000000000000 0 0 12390;main_trial_1 0910.jpg 0433.jpg 1098.jpg attn32.jpg 0251.jpg 0379.jpg 0700.jpg 0563.jpg 0147.jpg 0183.jpg 0676.jpg 0757.jpg 100001100010 000100000000 1 0 27982;main_trial_2 0641.jpg 0521.jpg 0030.jpg 0787.jpg 0934.jpg 0788.jpg 0803.jpg 1087.jpg 0241.jpg 0071.jpg attn17.jpg 0905.jpg 100010001001 000000000010 1 0 12780;main_trial_3 0061.jpg 0683.jpg 0043.jpg 0817.jpg 0918.jpg 0602.jpg 0018.jpg 0422.jpg 0393.jpg 0163.jpg 0818.jpg 0335.jpg 010110010000 000000000000 0 0 15360;main_trial_4 0062.jpg 0450.jpg 0329.jpg 0642.jpg 0041.jpg 1056.jpg 1046.jpg 0928.jpg 0645.jpg 0872.jpg 0919.jpg 0628.jpg 011000011000 000000000000 0 0 10936;main_trial_5 0052.jpg 0835.jpg 0593.jpg 0572.jpg 0228.jpg 0300.jpg 0587.jpg 0992.jpg 1057.jpg 0290.jpg 0244.jpg 0514.jpg 000101010100 000000000000 0 0 20985;main_trial_6 0860.jpg 0940.jpg 0075.jpg 0709.jpg 0504.jpg 0999.jpg 0438.jpg 0372.jpg 0373.jpg 0635.jpg 0327.jpg 0878.jpg 000110001001 000000000000 0 0 11502;main_trial_7 0185.jpg 0974.jpg 0811.jpg 1010.jpg 0675.jpg 0333.jpg 0434.jpg 0938.jpg 1073.jpg 0990.jpg 0554.jpg 0596.jpg 001000011001 000000000000 0 0 8244;main_trial_8 1101.jpg 1008.jpg 0223.jpg 0623.jpg 0120.jpg 0790.jpg 0292.jpg 0217.jpg 0460.jpg 0435.jpg 0321.jpg 0633.jpg 000001001011 000000000000 0 0 14087;"
"10","2024-07-16 08:20:34","2024-07-16 08:27:17","0","76.190.108.66","100","403","1","2024-07-16 08:27:18","38.2182","-86.1125","anonymous","EN","Edge","126.0.0.0","Windows NT 10.0","1680x1050","66329c1aecce28708f9c0fe3","44","2","2","pass","exp_stage image11 image12 image13 image14 image21 image22 image23 image24 image31 image32 image33 image34 click trash attn attn_fail rt;main_trial_0 0676.jpg 0594.jpg 0021.jpg 0609.jpg 0529.jpg 0212.jpg attn40.jpg 0612.jpg 0571.jpg 0078.jpg 0830.jpg 0484.jpg 100010011000 000000100000 1 0 10543;main_trial_1 0989.jpg 0434.jpg 0880.jpg 0053.jpg 0161.jpg 0881.jpg 0504.jpg 1029.jpg 0818.jpg 1000.jpg 0190.jpg 0588.jpg 111001000000 000000000000 0 0 13975;main_trial_2 0690.jpg 0349.jpg 1064.jpg 0402.jpg 0156.jpg 0199.jpg 0607.jpg 0846.jpg 0453.jpg 1052.jpg 0756.jpg 0204.jpg 000000011110 000000000000 0 0 13166;main_trial_3 0149.jpg 1013.jpg 0903.jpg 0401.jpg 0336.jpg 0649.jpg 0116.jpg 0437.jpg 0410.jpg 0551.jpg 0431.jpg 0691.jpg 001101000001 000000000000 0 0 15230;main_trial_4 0265.jpg 0771.jpg 0672.jpg 0845.jpg 0497.jpg 0766.jpg 0907.jpg 0157.jpg 0682.jpg 1091.jpg 0309.jpg 0721.jpg 001110001000 000000000000 0 0 10654;main_trial_5 0872.jpg 0124.jpg 0850.jpg 0757.jpg 0087.jpg 0138.jpg 0883.jpg 0489.jpg 0775.jpg 1092.jpg 0275.jpg 0568.jpg 101000010010 000000000000 0 0 14424;main_trial_6 1101.jpg 0478.jpg 0342.jpg 0723.jpg 1028.jpg 0132.jpg 0117.jpg 0015.jpg 0049.jpg 0374.jpg 0677.jpg 0391.jpg 100110000100 000000000000 0 0 21726;main_trial_7 0518.jpg 0669.jpg 0589.jpg 0244.jpg 0461.jpg attn04.jpg 0171.jpg 0763.jpg 0109.jpg 0262.jpg 0418.jpg 0192.jpg 001000010110 000001000000 1 0 9070;main_trial_8 0010.jpg 0658.jpg 0408.jpg 0127.jpg 0008.jpg 0371.jpg 0794.jpg 0324.jpg 0769.jpg 0343.jpg 0296.jpg 0510.jpg 001001101000 000000000000 0 0 8679;"
