"","participant_id","exp_stage","image","position","response"
"1","660c6506219c56f73617fd54","main_trial_0","0369.jpg",1,"0"
"2","660c6506219c56f73617fd54","main_trial_0","0882.jpg",2,"1"
"3","660c6506219c56f73617fd54","main_trial_0","0945.jpg",3,"0"
"4","660c6506219c56f73617fd54","main_trial_0","0235.jpg",4,"0"
"5","660c6506219c56f73617fd54","main_trial_0","0756.jpg",5,"1"
"6","660c6506219c56f73617fd54","main_trial_0","0528.jpg",6,"0"
"7","660c6506219c56f73617fd54","main_trial_0","0164.jpg",7,"0"
"8","660c6506219c56f73617fd54","main_trial_0","0490.jpg",8,"0"
"9","660c6506219c56f73617fd54","main_trial_0","0895.jpg",9,"1"
"10","660c6506219c56f73617fd54","main_trial_0","1035.jpg",10,"1"
"11","660c6506219c56f73617fd54","main_trial_0","1097.jpg",11,"0"
"12","660c6506219c56f73617fd54","main_trial_0","0600.jpg",12,"0"
"13","660c6506219c56f73617fd54","main_trial_1","0675.jpg",1,"1"
"14","660c6506219c56f73617fd54","main_trial_1","0215.jpg",2,"0"
"15","660c6506219c56f73617fd54","main_trial_1","0221.jpg",3,"0"
"16","660c6506219c56f73617fd54","main_trial_1","0794.jpg",4,"0"
"17","660c6506219c56f73617fd54","main_trial_1","0696.jpg",5,"0"
"18","660c6506219c56f73617fd54","main_trial_1","0810.jpg",6,"1"
"19","660c6506219c56f73617fd54","main_trial_1","0277.jpg",7,"0"
"20","660c6506219c56f73617fd54","main_trial_1","0014.jpg",8,"0"
"21","660c6506219c56f73617fd54","main_trial_1","0765.jpg",9,"1"
"22","660c6506219c56f73617fd54","main_trial_1","0044.jpg",10,"0"
"23","660c6506219c56f73617fd54","main_trial_1","0392.jpg",11,"1"
"24","660c6506219c56f73617fd54","main_trial_1","0475.jpg",12,"0"
"25","660c6506219c56f73617fd54","main_trial_2","0279.jpg",1,"1"
"26","660c6506219c56f73617fd54","main_trial_2","0068.jpg",2,"0"
"27","660c6506219c56f73617fd54","main_trial_2","0967.jpg",3,"1"
"28","660c6506219c56f73617fd54","main_trial_2","0910.jpg",4,"1"
"29","660c6506219c56f73617fd54","main_trial_2","0739.jpg",5,"1"
"30","660c6506219c56f73617fd54","main_trial_2","0709.jpg",6,"0"
"31","660c6506219c56f73617fd54","main_trial_2","0589.jpg",7,"0"
"32","660c6506219c56f73617fd54","main_trial_2","0541.jpg",8,"0"
"33","660c6506219c56f73617fd54","main_trial_2","0169.jpg",9,"0"
"34","660c6506219c56f73617fd54","main_trial_2","0577.jpg",10,"0"
"35","660c6506219c56f73617fd54","main_trial_2","0755.jpg",11,"0"
"36","660c6506219c56f73617fd54","main_trial_2","0797.jpg",12,"0"
"37","660c6506219c56f73617fd54","main_trial_3","0638.jpg",1,"1"
"38","660c6506219c56f73617fd54","main_trial_3","0309.jpg",2,"0"
"39","660c6506219c56f73617fd54","main_trial_3","0977.jpg",3,"1"
"40","660c6506219c56f73617fd54","main_trial_3","0115.jpg",4,"0"
"41","660c6506219c56f73617fd54","main_trial_3","0387.jpg",5,"0"
"42","660c6506219c56f73617fd54","main_trial_3","0319.jpg",6,"0"
"43","660c6506219c56f73617fd54","main_trial_3","0320.jpg",7,"1"
"44","660c6506219c56f73617fd54","main_trial_3","0402.jpg",8,"1"
"45","660c6506219c56f73617fd54","main_trial_3","0212.jpg",9,"0"
"46","660c6506219c56f73617fd54","main_trial_3","0009.jpg",10,"0"
"47","660c6506219c56f73617fd54","main_trial_3","0292.jpg",11,"0"
"48","660c6506219c56f73617fd54","main_trial_3","0170.jpg",12,"0"
"49","660c6506219c56f73617fd54","main_trial_4","0715.jpg",1,"0"
"50","660c6506219c56f73617fd54","main_trial_4","0097.jpg",2,"0"
"51","660c6506219c56f73617fd54","main_trial_4","0914.jpg",3,"1"
"52","660c6506219c56f73617fd54","main_trial_4","0114.jpg",4,"0"
"53","660c6506219c56f73617fd54","main_trial_4","0660.jpg",5,"0"
"54","660c6506219c56f73617fd54","main_trial_4","1077.jpg",6,"1"
"55","660c6506219c56f73617fd54","main_trial_4","0217.jpg",7,"0"
"56","660c6506219c56f73617fd54","main_trial_4","0873.jpg",8,"1"
"57","660c6506219c56f73617fd54","main_trial_4","1033.jpg",9,"1"
"58","660c6506219c56f73617fd54","main_trial_4","0123.jpg",10,"0"
"59","660c6506219c56f73617fd54","main_trial_4","0085.jpg",11,"0"
"60","660c6506219c56f73617fd54","main_trial_4","0872.jpg",12,"0"
"61","660c6506219c56f73617fd54","main_trial_5","0879.jpg",1,"1"
"62","660c6506219c56f73617fd54","main_trial_5","0791.jpg",2,"0"
"63","660c6506219c56f73617fd54","main_trial_5","0781.jpg",3,"0"
"64","660c6506219c56f73617fd54","main_trial_5","0300.jpg",4,"0"
"65","660c6506219c56f73617fd54","main_trial_5","1006.jpg",5,"1"
"66","660c6506219c56f73617fd54","main_trial_5","0312.jpg",6,"1"
"67","660c6506219c56f73617fd54","main_trial_5","0778.jpg",7,"0"
"68","660c6506219c56f73617fd54","main_trial_5","0440.jpg",8,"0"
"69","660c6506219c56f73617fd54","main_trial_5","0550.jpg",9,"1"
"70","660c6506219c56f73617fd54","main_trial_5","0930.jpg",10,"0"
"71","660c6506219c56f73617fd54","main_trial_5","0223.jpg",11,"0"
"72","660c6506219c56f73617fd54","main_trial_5","0389.jpg",12,"0"
"73","660c6506219c56f73617fd54","main_trial_6","0022.jpg",1,"0"
"74","660c6506219c56f73617fd54","main_trial_6","1101.jpg",2,"0"
"75","660c6506219c56f73617fd54","main_trial_6","0454.jpg",3,"0"
"76","660c6506219c56f73617fd54","main_trial_6","0492.jpg",4,"1"
"77","660c6506219c56f73617fd54","main_trial_6","0832.jpg",5,"0"
"78","660c6506219c56f73617fd54","main_trial_6","0615.jpg",6,"1"
"79","660c6506219c56f73617fd54","main_trial_6","0838.jpg",7,"1"
"80","660c6506219c56f73617fd54","main_trial_6","0881.jpg",8,"1"
"81","660c6506219c56f73617fd54","main_trial_6","0051.jpg",9,"0"
"82","660c6506219c56f73617fd54","main_trial_6","0559.jpg",10,"0"
"83","660c6506219c56f73617fd54","main_trial_6","1065.jpg",11,"0"
"84","660c6506219c56f73617fd54","main_trial_6","0057.jpg",12,"0"
"85","660c6506219c56f73617fd54","main_trial_7","0209.jpg",1,"0"
"86","660c6506219c56f73617fd54","main_trial_7","0034.jpg",2,"0"
"87","660c6506219c56f73617fd54","main_trial_7","0809.jpg",3,"1"
"88","660c6506219c56f73617fd54","main_trial_7","0772.jpg",4,"1"
"89","660c6506219c56f73617fd54","main_trial_7","1075.jpg",5,"1"
"90","660c6506219c56f73617fd54","main_trial_7","0786.jpg",6,"0"
"91","660c6506219c56f73617fd54","main_trial_7","0737.jpg",7,"0"
"92","660c6506219c56f73617fd54","main_trial_7","0477.jpg",9,"1"
"93","660c6506219c56f73617fd54","main_trial_7","0980.jpg",10,"0"
"94","660c6506219c56f73617fd54","main_trial_7","0107.jpg",11,"0"
"95","660c6506219c56f73617fd54","main_trial_7","0083.jpg",12,"0"
"96","660c6506219c56f73617fd54","main_trial_8","0193.jpg",2,"0"
"97","660c6506219c56f73617fd54","main_trial_8","0385.jpg",3,"1"
"98","660c6506219c56f73617fd54","main_trial_8","0372.jpg",4,"0"
"99","660c6506219c56f73617fd54","main_trial_8","0585.jpg",5,"1"
"100","660c6506219c56f73617fd54","main_trial_8","0904.jpg",6,"1"
"101","660c6506219c56f73617fd54","main_trial_8","0211.jpg",7,"0"
"102","660c6506219c56f73617fd54","main_trial_8","0932.jpg",8,"0"
"103","660c6506219c56f73617fd54","main_trial_8","1092.jpg",9,"0"
"104","660c6506219c56f73617fd54","main_trial_8","0670.jpg",10,"0"
"105","660c6506219c56f73617fd54","main_trial_8","0449.jpg",11,"0"
"106","660c6506219c56f73617fd54","main_trial_8","0705.jpg",12,"1"
"107","6689a1fe29a96f94df7e4052","main_trial_0","0223.jpg",1,"0"
"108","6689a1fe29a96f94df7e4052","main_trial_0","0042.jpg",3,"0"
"109","6689a1fe29a96f94df7e4052","main_trial_0","0970.jpg",4,"1"
"110","6689a1fe29a96f94df7e4052","main_trial_0","0823.jpg",5,"0"
"111","6689a1fe29a96f94df7e4052","main_trial_0","0057.jpg",6,"0"
"112","6689a1fe29a96f94df7e4052","main_trial_0","1078.jpg",7,"1"
"113","6689a1fe29a96f94df7e4052","main_trial_0","0753.jpg",8,"1"
"114","6689a1fe29a96f94df7e4052","main_trial_0","0862.jpg",9,"1"
"115","6689a1fe29a96f94df7e4052","main_trial_0","0235.jpg",10,"0"
"116","6689a1fe29a96f94df7e4052","main_trial_0","0528.jpg",11,"0"
"117","6689a1fe29a96f94df7e4052","main_trial_0","0860.jpg",12,"0"
"118","6689a1fe29a96f94df7e4052","main_trial_1","1070.jpg",1,"1"
"119","6689a1fe29a96f94df7e4052","main_trial_1","0738.jpg",2,"0"
"120","6689a1fe29a96f94df7e4052","main_trial_1","0943.jpg",3,"0"
"121","6689a1fe29a96f94df7e4052","main_trial_1","1023.jpg",4,"0"
"122","6689a1fe29a96f94df7e4052","main_trial_1","0729.jpg",5,"1"
"123","6689a1fe29a96f94df7e4052","main_trial_1","0506.jpg",6,"1"
"124","6689a1fe29a96f94df7e4052","main_trial_1","0969.jpg",7,"0"
"125","6689a1fe29a96f94df7e4052","main_trial_1","1036.jpg",8,"0"
"126","6689a1fe29a96f94df7e4052","main_trial_1","0708.jpg",9,"0"
"127","6689a1fe29a96f94df7e4052","main_trial_1","0667.jpg",10,"1"
"128","6689a1fe29a96f94df7e4052","main_trial_1","0913.jpg",11,"0"
"129","6689a1fe29a96f94df7e4052","main_trial_1","0853.jpg",12,"0"
"130","6689a1fe29a96f94df7e4052","main_trial_2","0258.jpg",1,"1"
"131","6689a1fe29a96f94df7e4052","main_trial_2","1044.jpg",2,"1"
"132","6689a1fe29a96f94df7e4052","main_trial_2","0355.jpg",3,"0"
"133","6689a1fe29a96f94df7e4052","main_trial_2","0728.jpg",4,"0"
"134","6689a1fe29a96f94df7e4052","main_trial_2","0799.jpg",5,"1"
"135","6689a1fe29a96f94df7e4052","main_trial_2","0784.jpg",6,"1"
"136","6689a1fe29a96f94df7e4052","main_trial_2","0576.jpg",7,"0"
"137","6689a1fe29a96f94df7e4052","main_trial_2","0487.jpg",8,"0"
"138","6689a1fe29a96f94df7e4052","main_trial_2","0855.jpg",9,"0"
"139","6689a1fe29a96f94df7e4052","main_trial_2","0962.jpg",10,"0"
"140","6689a1fe29a96f94df7e4052","main_trial_2","0507.jpg",11,"0"
"141","6689a1fe29a96f94df7e4052","main_trial_2","0189.jpg",12,"0"
"142","6689a1fe29a96f94df7e4052","main_trial_3","0226.jpg",1,"0"
"143","6689a1fe29a96f94df7e4052","main_trial_3","0352.jpg",2,"0"
"144","6689a1fe29a96f94df7e4052","main_trial_3","0098.jpg",3,"0"
"145","6689a1fe29a96f94df7e4052","main_trial_3","0219.jpg",4,"0"
"146","6689a1fe29a96f94df7e4052","main_trial_3","0693.jpg",5,"1"
"147","6689a1fe29a96f94df7e4052","main_trial_3","0648.jpg",6,"1"
"148","6689a1fe29a96f94df7e4052","main_trial_3","0141.jpg",7,"0"
"149","6689a1fe29a96f94df7e4052","main_trial_3","0254.jpg",8,"0"
"150","6689a1fe29a96f94df7e4052","main_trial_3","0838.jpg",9,"1"
"151","6689a1fe29a96f94df7e4052","main_trial_3","0902.jpg",10,"0"
"152","6689a1fe29a96f94df7e4052","main_trial_3","0628.jpg",11,"0"
"153","6689a1fe29a96f94df7e4052","main_trial_3","0274.jpg",12,"1"
"154","6689a1fe29a96f94df7e4052","main_trial_4","0803.jpg",1,"0"
"155","6689a1fe29a96f94df7e4052","main_trial_4","0207.jpg",2,"0"
"156","6689a1fe29a96f94df7e4052","main_trial_4","0725.jpg",3,"0"
"157","6689a1fe29a96f94df7e4052","main_trial_4","0723.jpg",4,"1"
"158","6689a1fe29a96f94df7e4052","main_trial_4","0512.jpg",5,"0"
