"","exp_stage","image11","image12","image13","image14","image21","image22","image23","image24","image31","image32","image33","image34","click","trash","attn","attn_fail","rt","participant_id"
"1","main_trial_0","0369.jpg","0882.jpg","0945.jpg","0235.jpg","0756.jpg","0528.jpg","0164.jpg","0490.jpg","0895.jpg","1035.jpg","1097.jpg","0600.jpg","010010001100",0,0,0,20575,"660c6506219c56f73617fd54"
"2","main_trial_1","0675.jpg","0215.jpg","0221.jpg","0794.jpg","0696.jpg","0810.jpg","0277.jpg","0014.jpg","0765.jpg","0044.jpg","0392.jpg","0475.jpg","100001001010",0,0,0,5606,"660c6506219c56f73617fd54"
"3","main_trial_2","0279.jpg","0068.jpg","0967.jpg","0910.jpg","0739.jpg","0709.jpg","0589.jpg","0541.jpg","0169.jpg","0577.jpg","0755.jpg","0797.jpg","101110000000",0,0,0,3798,"660c6506219c56f73617fd54"
"4","main_trial_3","0638.jpg","0309.jpg","0977.jpg","0115.jpg","0387.jpg","0319.jpg","0320.jpg","0402.jpg","0212.jpg","0009.jpg","0292.jpg","0170.jpg","101000110000",0,0,0,32231,"660c6506219c56f73617fd54"
"5","main_trial_4","0715.jpg","0097.jpg","0914.jpg","0114.jpg","0660.jpg","1077.jpg","0217.jpg","0873.jpg","1033.jpg","0123.jpg","0085.jpg","0872.jpg","001001011000",0,0,0,6967,"660c6506219c56f73617fd54"
"6","main_trial_5","0879.jpg","0791.jpg","0781.jpg","0300.jpg","1006.jpg","0312.jpg","0778.jpg","0440.jpg","0550.jpg","0930.jpg","0223.jpg","0389.jpg","100011001000",0,0,0,3311,"660c6506219c56f73617fd54"
"7","main_trial_6","0022.jpg","1101.jpg","0454.jpg","0492.jpg","0832.jpg","0615.jpg","0838.jpg","0881.jpg","0051.jpg","0559.jpg","1065.jpg","0057.jpg","000101110000",0,0,0,7214,"660c6506219c56f73617fd54"
"8","main_trial_7","0209.jpg","0034.jpg","0809.jpg","0772.jpg","1075.jpg","0786.jpg","0737.jpg","attn30.jpg","0477.jpg","0980.jpg","0107.jpg","0083.jpg","001110001000",10000,1,0,7495,"660c6506219c56f73617fd54"
"9","main_trial_8","attn05.jpg","0193.jpg","0385.jpg","0372.jpg","0585.jpg","0904.jpg","0211.jpg","0932.jpg","1092.jpg","0670.jpg","0449.jpg","0705.jpg","001011000001",1e+11,1,0,10311,"660c6506219c56f73617fd54"
"10","main_trial_0","0223.jpg","attn07.jpg","0042.jpg","0970.jpg","0823.jpg","0057.jpg","1078.jpg","0753.jpg","0862.jpg","0235.jpg","0528.jpg","0860.jpg","000100111000",1e+10,1,0,84333,"6689a1fe29a96f94df7e4052"
"11","main_trial_1","1070.jpg","0738.jpg","0943.jpg","1023.jpg","0729.jpg","0506.jpg","0969.jpg","1036.jpg","0708.jpg","0667.jpg","0913.jpg","0853.jpg","100011000100",0,0,0,15460,"6689a1fe29a96f94df7e4052"
"12","main_trial_2","0258.jpg","1044.jpg","0355.jpg","0728.jpg","0799.jpg","0784.jpg","0576.jpg","0487.jpg","0855.jpg","0962.jpg","0507.jpg","0189.jpg","110011000000",0,0,0,22402,"6689a1fe29a96f94df7e4052"
"13","main_trial_3","0226.jpg","0352.jpg","0098.jpg","0219.jpg","0693.jpg","0648.jpg","0141.jpg","0254.jpg","0838.jpg","0902.jpg","0628.jpg","0274.jpg","000011001001",0,0,0,11416,"6689a1fe29a96f94df7e4052"
"14","main_trial_4","0803.jpg","0207.jpg","0725.jpg","0723.jpg","0512.jpg","0199.jpg","0956.jpg","0106.jpg","0614.jpg","0298.jpg","0430.jpg","0639.jpg","000100100110",0,0,0,17426,"6689a1fe29a96f94df7e4052"
