"","participant_id","exp_stage","image","position","response"
"1","6761934aa62aae0c93863233","main_trial_0","0610.jpg",1,"1"
"2","6761934aa62aae0c93863233","main_trial_0","0590.jpg",2,"1"
"3","6761934aa62aae0c93863233","main_trial_0","0996.jpg",3,"0"
"4","6761934aa62aae0c93863233","main_trial_0","0983.jpg",4,"1"
"5","6761934aa62aae0c93863233","main_trial_0","1095.jpg",5,"0"
"6","6761934aa62aae0c93863233","main_trial_0","0824.jpg",6,"1"
"7","6761934aa62aae0c93863233","main_trial_0","1019.jpg",7,"0"
"8","6761934aa62aae0c93863233","main_trial_0","0189.jpg",8,"0"
"9","6761934aa62aae0c93863233","main_trial_0","0922.jpg",10,"0"
"10","6761934aa62aae0c93863233","main_trial_0","0040.jpg",11,"0"
"11","6761934aa62aae0c93863233","main_trial_0","0228.jpg",12,"0"
"12","6761934aa62aae0c93863233","main_trial_1","0246.jpg",1,"1"
"13","6761934aa62aae0c93863233","main_trial_1","0533.jpg",2,"1"
"14","6761934aa62aae0c93863233","main_trial_1","0015.jpg",3,"0"
"15","6761934aa62aae0c93863233","main_trial_1","0358.jpg",4,"1"
"16","6761934aa62aae0c93863233","main_trial_1","0773.jpg",5,"0"
"17","6761934aa62aae0c93863233","main_trial_1","0849.jpg",6,"1"
"18","6761934aa62aae0c93863233","main_trial_1","0695.jpg",7,"0"
"19","6761934aa62aae0c93863233","main_trial_1","0683.jpg",8,"0"
"20","6761934aa62aae0c93863233","main_trial_1","0495.jpg",9,"0"
"21","6761934aa62aae0c93863233","main_trial_1","0527.jpg",10,"0"
"22","6761934aa62aae0c93863233","main_trial_1","0962.jpg",11,"0"
"23","6761934aa62aae0c93863233","main_trial_1","0851.jpg",12,"0"
"24","6761934aa62aae0c93863233","main_trial_2","0813.jpg",1,"0"
"25","6761934aa62aae0c93863233","main_trial_2","0150.jpg",2,"0"
"26","6761934aa62aae0c93863233","main_trial_2","0875.jpg",3,"1"
"27","6761934aa62aae0c93863233","main_trial_2","0968.jpg",4,"1"
"28","6761934aa62aae0c93863233","main_trial_2","0421.jpg",5,"0"
"29","6761934aa62aae0c93863233","main_trial_2","0211.jpg",6,"0"
"30","6761934aa62aae0c93863233","main_trial_2","0721.jpg",7,"1"
"31","6761934aa62aae0c93863233","main_trial_2","0463.jpg",8,"1"
"32","6761934aa62aae0c93863233","main_trial_2","1046.jpg",9,"0"
"33","6761934aa62aae0c93863233","main_trial_2","1053.jpg",10,"0"
"34","6761934aa62aae0c93863233","main_trial_2","1002.jpg",11,"0"
"35","6761934aa62aae0c93863233","main_trial_2","1034.jpg",12,"0"
"36","6761934aa62aae0c93863233","main_trial_3","0948.jpg",1,"1"
"37","6761934aa62aae0c93863233","main_trial_3","0194.jpg",2,"0"
"38","6761934aa62aae0c93863233","main_trial_3","0623.jpg",3,"1"
"39","6761934aa62aae0c93863233","main_trial_3","0060.jpg",4,"0"
"40","6761934aa62aae0c93863233","main_trial_3","0085.jpg",5,"0"
"41","6761934aa62aae0c93863233","main_trial_3","0039.jpg",6,"0"
"42","6761934aa62aae0c93863233","main_trial_3","0508.jpg",7,"0"
"43","6761934aa62aae0c93863233","main_trial_3","0138.jpg",8,"0"
"44","6761934aa62aae0c93863233","main_trial_3","1025.jpg",9,"0"
"45","6761934aa62aae0c93863233","main_trial_3","0519.jpg",10,"0"
"46","6761934aa62aae0c93863233","main_trial_3","0792.jpg",11,"1"
"47","6761934aa62aae0c93863233","main_trial_3","0757.jpg",12,"1"
"48","6761934aa62aae0c93863233","main_trial_4","0004.jpg",1,"0"
"49","6761934aa62aae0c93863233","main_trial_4","0079.jpg",2,"0"
"50","6761934aa62aae0c93863233","main_trial_4","0907.jpg",3,"0"
"51","6761934aa62aae0c93863233","main_trial_4","0882.jpg",4,"0"
"52","6761934aa62aae0c93863233","main_trial_4","0142.jpg",5,"0"
"53","6761934aa62aae0c93863233","main_trial_4","0540.jpg",6,"0"
"54","6761934aa62aae0c93863233","main_trial_4","0827.jpg",7,"1"
"55","6761934aa62aae0c93863233","main_trial_4","0281.jpg",8,"1"
"56","6761934aa62aae0c93863233","main_trial_4","0401.jpg",9,"1"
"57","6761934aa62aae0c93863233","main_trial_4","0994.jpg",10,"1"
"58","6761934aa62aae0c93863233","main_trial_4","0789.jpg",11,"0"
"59","6761934aa62aae0c93863233","main_trial_4","0233.jpg",12,"0"
"60","6761934aa62aae0c93863233","main_trial_5","0980.jpg",1,"0"
"61","6761934aa62aae0c93863233","main_trial_5","0227.jpg",2,"0"
"62","6761934aa62aae0c93863233","main_trial_5","0479.jpg",3,"1"
"63","6761934aa62aae0c93863233","main_trial_5","0663.jpg",4,"1"
"64","6761934aa62aae0c93863233","main_trial_5","0873.jpg",5,"0"
"65","6761934aa62aae0c93863233","main_trial_5","0927.jpg",6,"0"
"66","6761934aa62aae0c93863233","main_trial_5","0928.jpg",7,"1"
"67","6761934aa62aae0c93863233","main_trial_5","0221.jpg",8,"0"
"68","6761934aa62aae0c93863233","main_trial_5","0741.jpg",9,"0"
"69","6761934aa62aae0c93863233","main_trial_5","1073.jpg",10,"1"
"70","6761934aa62aae0c93863233","main_trial_5","0111.jpg",11,"0"
"71","6761934aa62aae0c93863233","main_trial_5","0738.jpg",12,"0"
"72","6761934aa62aae0c93863233","main_trial_6","1006.jpg",1,"1"
"73","6761934aa62aae0c93863233","main_trial_6","0409.jpg",2,"1"
"74","6761934aa62aae0c93863233","main_trial_6","0182.jpg",3,"0"
"75","6761934aa62aae0c93863233","main_trial_6","0330.jpg",4,"1"
"76","6761934aa62aae0c93863233","main_trial_6","0619.jpg",5,"0"
"77","6761934aa62aae0c93863233","main_trial_6","0602.jpg",6,"1"
"78","6761934aa62aae0c93863233","main_trial_6","0473.jpg",7,"0"
