"","exp_stage","image11","image12","image13","image14","image21","image22","image23","image24","image31","image32","image33","image34","click","trash","attn","attn_fail","rt","participant_id"
"1","main_trial_0","0610.jpg","0590.jpg","0996.jpg","0983.jpg","1095.jpg","0824.jpg","1019.jpg","0189.jpg","attn41.jpg","0922.jpg","0040.jpg","0228.jpg","110101000000",1000,1,0,9422,"6761934aa62aae0c93863233"
"2","main_trial_1","0246.jpg","0533.jpg","0015.jpg","0358.jpg","0773.jpg","0849.jpg","0695.jpg","0683.jpg","0495.jpg","0527.jpg","0962.jpg","0851.jpg","110101000000",0,0,0,8779,"6761934aa62aae0c93863233"
"3","main_trial_2","0813.jpg","0150.jpg","0875.jpg","0968.jpg","0421.jpg","0211.jpg","0721.jpg","0463.jpg","1046.jpg","1053.jpg","1002.jpg","1034.jpg","001100110000",0,0,0,8173,"6761934aa62aae0c93863233"
"4","main_trial_3","0948.jpg","0194.jpg","0623.jpg","0060.jpg","0085.jpg","0039.jpg","0508.jpg","0138.jpg","1025.jpg","0519.jpg","0792.jpg","0757.jpg","101000000011",0,0,0,12430,"6761934aa62aae0c93863233"
"5","main_trial_4","0004.jpg","0079.jpg","0907.jpg","0882.jpg","0142.jpg","0540.jpg","0827.jpg","0281.jpg","0401.jpg","0994.jpg","0789.jpg","0233.jpg","000000111100",0,0,0,6337,"6761934aa62aae0c93863233"
"6","main_trial_5","0980.jpg","0227.jpg","0479.jpg","0663.jpg","0873.jpg","0927.jpg","0928.jpg","0221.jpg","0741.jpg","1073.jpg","0111.jpg","0738.jpg","001100100100",0,0,0,8597,"6761934aa62aae0c93863233"
"7","main_trial_6","1006.jpg","0409.jpg","0182.jpg","0330.jpg","0619.jpg","0602.jpg","0473.jpg","0172.jpg","attn37.jpg","0733.jpg","1052.jpg","0802.jpg","110101000000",1000,1,0,9976,"6761934aa62aae0c93863233"
"8","main_trial_7","0670.jpg","0028.jpg","0924.jpg","0407.jpg","0217.jpg","0014.jpg","0674.jpg","1051.jpg","0760.jpg","0210.jpg","1041.jpg","0043.jpg","100100000110",0,0,0,8400,"6761934aa62aae0c93863233"
"9","main_trial_8","1060.jpg","0104.jpg","0455.jpg","0481.jpg","0659.jpg","0355.jpg","0310.jpg","0089.jpg","0694.jpg","0456.jpg","0708.jpg","0894.jpg","001001100100",0,0,0,6584,"6761934aa62aae0c93863233"
"10","main_trial_0","0157.jpg","0295.jpg","0842.jpg","0251.jpg","1074.jpg","0567.jpg","0109.jpg","0037.jpg","1021.jpg","0703.jpg","0997.jpg","1101.jpg","010100000011",1e+11,0,0,16765,"672bd5df119bfbb6db80947a"
