"","exp_stage","image","response","attn","attn_index","attn_fail","rt","participant_id"
"1","main_trial_0","0046.jpg",3,0,1,0,18253,"6608261ee449f63e34a250d7"
"2","main_trial_1","0248.jpg",4,0,5,0,9220,"6608261ee449f63e34a250d7"
"3","main_trial_4","0465.jpg",1,0,2,0,5957,"6608261ee449f63e34a250d7"
"4","main_trial_5","0757.jpg",1,0,4,0,4681,"6608261ee449f63e34a250d7"
"5","main_trial_7","0075.jpg",2,0,3,0,6815,"6608261ee449f63e34a250d7"
"6","main_trial_8","0642.jpg",2,0,6,0,5730,"6608261ee449f63e34a250d7"
"7","main_trial_10","0231.jpg",1,0,5,0,3124,"6608261ee449f63e34a250d7"
"8","main_trial_11","0118.jpg",1,0,5,0,6268,"6608261ee449f63e34a250d7"
"9","main_trial_12","1014.jpg",7,0,5,0,6845,"6608261ee449f63e34a250d7"
"10","main_trial_14","1029.jpg",3,0,3,0,5015,"6608261ee449f63e34a250d7"
"11","main_trial_15","0981.jpg",7,0,4,0,4041,"6608261ee449f63e34a250d7"
"12","main_trial_16","0819.jpg",7,0,2,0,3784,"6608261ee449f63e34a250d7"
"13","main_trial_18","0191.jpg",2,0,2,0,4978,"6608261ee449f63e34a250d7"
"14","main_trial_19","0783.jpg",6,0,1,0,7321,"6608261ee449f63e34a250d7"
"15","main_trial_20","0334.jpg",7,0,6,0,3067,"6608261ee449f63e34a250d7"
"16","main_trial_21","0112.jpg",2,0,0,0,3790,"6608261ee449f63e34a250d7"
"17","main_trial_24","0525.jpg",1,0,4,0,4696,"6608261ee449f63e34a250d7"
"18","main_trial_25","0365.jpg",2,0,2,0,2701,"6608261ee449f63e34a250d7"
"19","main_trial_27","0751.jpg",7,0,6,0,4892,"6608261ee449f63e34a250d7"
"20","main_trial_28","0608.jpg",2,0,5,0,5607,"6608261ee449f63e34a250d7"
"21","main_trial_29","0329.jpg",7,0,0,0,4166,"6608261ee449f63e34a250d7"
"22","main_trial_30","1083.jpg",7,0,6,0,2514,"6608261ee449f63e34a250d7"
"23","main_trial_31","0174.jpg",2,0,1,0,3645,"6608261ee449f63e34a250d7"
"24","main_trial_32","0274.jpg",7,0,1,0,2716,"6608261ee449f63e34a250d7"
"25","main_trial_33","0320.jpg",2,0,1,0,4616,"6608261ee449f63e34a250d7"
"26","main_trial_34","0009.jpg",1,0,1,0,3847,"6608261ee449f63e34a250d7"
"27","main_trial_35","0059.jpg",1,0,4,0,2902,"6608261ee449f63e34a250d7"
"28","main_trial_36","0327.jpg",4,0,2,0,8012,"6608261ee449f63e34a250d7"
"29","main_trial_37","0054.jpg",2,0,3,0,9291,"6608261ee449f63e34a250d7"
"30","main_trial_38","0366.jpg",7,0,2,0,2983,"6608261ee449f63e34a250d7"
"31","main_trial_39","0410.jpg",5,0,4,0,7187,"6608261ee449f63e34a250d7"
"32","main_trial_40","0852.jpg",2,0,6,0,4850,"6608261ee449f63e34a250d7"
"33","main_trial_41","0807.jpg",7,0,6,0,2515,"6608261ee449f63e34a250d7"
"34","main_trial_43","0609.jpg",3,0,3,0,5886,"6608261ee449f63e34a250d7"
"35","main_trial_44","0295.jpg",1,0,1,0,2953,"6608261ee449f63e34a250d7"
"36","main_trial_45","0730.jpg",3,0,4,0,4741,"6608261ee449f63e34a250d7"
"37","main_trial_46","0780.jpg",7,0,2,0,2530,"6608261ee449f63e34a250d7"
"38","main_trial_48","0772.jpg",7,0,2,0,2889,"6608261ee449f63e34a250d7"
"39","main_trial_50","0645.jpg",7,0,2,0,2935,"6608261ee449f63e34a250d7"
"40","main_trial_51","0132.jpg",3,0,4,0,5653,"6608261ee449f63e34a250d7"
"41","main_trial_52","0998.jpg",7,0,3,0,4571,"6608261ee449f63e34a250d7"
"42","main_trial_53","0045.jpg",3,0,1,0,3698,"6608261ee449f63e34a250d7"
"43","main_trial_55","0442.jpg",2,0,6,0,3938,"6608261ee449f63e34a250d7"
"44","main_trial_56","0622.jpg",1,0,5,0,3511,"6608261ee449f63e34a250d7"
"45","main_trial_58","0999.jpg",1,0,0,0,4010,"6608261ee449f63e34a250d7"
"46","main_trial_59","0432.jpg",2,0,0,0,2676,"6608261ee449f63e34a250d7"
"47","main_trial_60","0950.jpg",4,0,0,0,5623,"6608261ee449f63e34a250d7"
"48","main_trial_62","0419.jpg",6,0,4,0,4221,"6608261ee449f63e34a250d7"
"49","main_trial_63","1059.jpg",7,0,5,0,2360,"6608261ee449f63e34a250d7"
"50","main_trial_64","0052.jpg",2,0,2,0,3091,"6608261ee449f63e34a250d7"
"51","main_trial_65","0413.jpg",2,0,1,0,6712,"6608261ee449f63e34a250d7"
"52","main_trial_66","0154.jpg",2,0,4,0,3903,"6608261ee449f63e34a250d7"
"53","main_trial_68","0064.jpg",3,0,6,0,4603,"6608261ee449f63e34a250d7"
"54","main_trial_69","0325.jpg",7,0,6,0,2687,"6608261ee449f63e34a250d7"
"55","main_trial_70","0044.jpg",2,0,1,0,8581,"6608261ee449f63e34a250d7"
"56","main_trial_71","0923.jpg",7,0,4,0,4813,"6608261ee449f63e34a250d7"
"57","main_trial_72","0065.jpg",2,0,1,0,3892,"6608261ee449f63e34a250d7"
"58","main_trial_73","1013.jpg",5,0,6,0,9065,"6608261ee449f63e34a250d7"
"59","main_trial_74","0712.jpg",7,0,0,0,2350,"6608261ee449f63e34a250d7"
"60","main_trial_76","0277.jpg",2,0,0,0,12273,"6608261ee449f63e34a250d7"
"61","main_trial_78","0698.jpg",4,0,5,0,8459,"6608261ee449f63e34a250d7"
"62","main_trial_79","0147.jpg",3,0,1,0,4851,"6608261ee449f63e34a250d7"
"63","main_trial_80","0700.jpg",7,0,5,0,3252,"6608261ee449f63e34a250d7"
"64","main_trial_82","0151.jpg",1,0,3,0,3495,"6608261ee449f63e34a250d7"
"65","main_trial_85","0491.jpg",1,0,6,0,7812,"6608261ee449f63e34a250d7"
"66","main_trial_86","0313.jpg",6,0,2,0,5622,"6608261ee449f63e34a250d7"
"67","main_trial_87","0763.jpg",7,0,5,0,3737,"6608261ee449f63e34a250d7"
"68","main_trial_89","0180.jpg",4,0,4,0,7383,"6608261ee449f63e34a250d7"
"69","main_trial_90","0740.jpg",7,0,4,0,4476,"6608261ee449f63e34a250d7"
"70","main_trial_92","0649.jpg",7,0,6,0,3978,"6608261ee449f63e34a250d7"
"71","main_trial_93","1078.jpg",1,0,5,0,3263,"6608261ee449f63e34a250d7"
"72","main_trial_94","1068.jpg",2,0,0,0,3161,"6608261ee449f63e34a250d7"
"73","main_trial_95","1075.jpg",7,0,5,0,2809,"6608261ee449f63e34a250d7"
"74","main_trial_96","0315.jpg",7,0,5,0,4400,"6608261ee449f63e34a250d7"
"75","main_trial_97","1044.jpg",7,0,2,0,2645,"6608261ee449f63e34a250d7"
"76","main_trial_99","0130.jpg",1,0,3,0,3963,"6608261ee449f63e34a250d7"
"77","main_trial_100","0250.jpg",7,0,6,0,4103,"6608261ee449f63e34a250d7"
"78","main_trial_101","0681.jpg",1,0,3,0,2670,"6608261ee449f63e34a250d7"
"79","main_trial_102","0709.jpg",7,0,2,0,6666,"6608261ee449f63e34a250d7"
"80","main_trial_103","0515.jpg",3,0,2,0,4072,"6608261ee449f63e34a250d7"
"81","main_trial_104","0574.jpg",3,0,5,0,4292,"6608261ee449f63e34a250d7"
"82","main_trial_105","0935.jpg",1,0,4,0,12172,"6608261ee449f63e34a250d7"
"83","main_trial_106","0825.jpg",7,0,1,0,2763,"6608261ee449f63e34a250d7"
"84","main_trial_107","0441.jpg",7,0,4,0,3549,"6608261ee449f63e34a250d7"
"85","main_trial_109","0668.jpg",7,0,0,0,5493,"6608261ee449f63e34a250d7"
"86","main_trial_110","0285.jpg",7,0,1,0,5197,"6608261ee449f63e34a250d7"
"87","main_trial_111","0765.jpg",7,0,6,0,2725,"6608261ee449f63e34a250d7"
"88","main_trial_112","0684.jpg",1,0,0,0,3650,"6608261ee449f63e34a250d7"
"89","main_trial_114","0892.jpg",5,0,5,0,4390,"6608261ee449f63e34a250d7"
"90","main_trial_115","0164.jpg",2,0,1,0,2701,"6608261ee449f63e34a250d7"
"91","main_trial_117","0107.jpg",5,0,5,0,9008,"6608261ee449f63e34a250d7"
"92","main_trial_118","0246.jpg",5,0,0,0,5427,"6608261ee449f63e34a250d7"
"93","main_trial_120","0933.jpg",7,0,0,0,3456,"6608261ee449f63e34a250d7"
"94","main_trial_121","0705.jpg",7,0,4,0,2795,"6608261ee449f63e34a250d7"
"95","main_trial_122","0919.jpg",7,0,5,0,4678,"6608261ee449f63e34a250d7"
"96","main_trial_123","0006.jpg",1,0,0,0,3075,"6608261ee449f63e34a250d7"
"97","main_trial_124","0787.jpg",7,0,1,0,2482,"6608261ee449f63e34a250d7"
"98","main_trial_125","0872.jpg",4,0,3,0,6837,"6608261ee449f63e34a250d7"
"99","main_trial_126","1057.jpg",1,0,1,0,4283,"6608261ee449f63e34a250d7"
"100","main_trial_127","0497.jpg",7,0,2,0,3737,"6608261ee449f63e34a250d7"
"101","main_trial_128","0721.jpg",5,0,4,0,10340,"6608261ee449f63e34a250d7"
"102","main_trial_130","0929.jpg",7,0,1,0,3301,"6608261ee449f63e34a250d7"
"103","main_trial_131","0791.jpg",7,0,5,0,4748,"6608261ee449f63e34a250d7"
"104","main_trial_133","0676.jpg",7,0,6,0,3675,"6608261ee449f63e34a250d7"
"105","main_trial_134","0364.jpg",7,0,4,0,5238,"6608261ee449f63e34a250d7"
"106","main_trial_135","0992.jpg",7,0,0,0,3589,"6608261ee449f63e34a250d7"
"107","main_trial_1","0426.jpg",2,0,1,0,8840,"664ea4b990f66846ba86f7a9"
"108","main_trial_2","0075.jpg",1,0,1,0,8562,"664ea4b990f66846ba86f7a9"
"109","main_trial_3","1044.jpg",7,0,4,0,6069,"664ea4b990f66846ba86f7a9"
"110","main_trial_4","0631.jpg",2,0,4,0,10915,"664ea4b990f66846ba86f7a9"
"111","main_trial_5","0897.jpg",6,0,0,0,5429,"664ea4b990f66846ba86f7a9"
"112","main_trial_6","0121.jpg",2,0,0,0,10756,"664ea4b990f66846ba86f7a9"
"113","main_trial_7","0725.jpg",2,0,6,0,5188,"664ea4b990f66846ba86f7a9"
"114","main_trial_8","0744.jpg",2,0,6,0,6518,"664ea4b990f66846ba86f7a9"
"115","main_trial_9","0589.jpg",6,0,6,0,5964,"664ea4b990f66846ba86f7a9"
"116","main_trial_10","0430.jpg",5,0,1,0,9052,"664ea4b990f66846ba86f7a9"
"117","main_trial_11","0928.jpg",7,0,4,0,8988,"664ea4b990f66846ba86f7a9"
"118","main_trial_12","0702.jpg",6,0,5,0,8512,"664ea4b990f66846ba86f7a9"
"119","main_trial_14","0883.jpg",3,0,0,0,15748,"664ea4b990f66846ba86f7a9"
"120","main_trial_17","1017.jpg",4,0,2,0,11328,"664ea4b990f66846ba86f7a9"
"121","main_trial_18","0369.jpg",4,0,0,0,5680,"664ea4b990f66846ba86f7a9"
"122","main_trial_19","0753.jpg",6,0,6,0,5390,"664ea4b990f66846ba86f7a9"
"123","main_trial_20","0720.jpg",2,0,2,0,3685,"664ea4b990f66846ba86f7a9"
"124","main_trial_21","0608.jpg",1,0,3,0,3766,"664ea4b990f66846ba86f7a9"
"125","main_trial_22","1102.jpg",2,0,4,0,7245,"664ea4b990f66846ba86f7a9"
"126","main_trial_23","0222.jpg",3,0,0,0,7091,"664ea4b990f66846ba86f7a9"
"127","main_trial_25","1076.jpg",4,0,3,0,7853,"664ea4b990f66846ba86f7a9"
"128","main_trial_27","0947.jpg",6,0,2,0,8470,"664ea4b990f66846ba86f7a9"
"129","main_trial_29","0737.jpg",6,0,2,0,8137,"664ea4b990f66846ba86f7a9"
"130","main_trial_30","0045.jpg",3,0,6,0,6060,"664ea4b990f66846ba86f7a9"
"131","main_trial_31","0791.jpg",7,0,3,0,4654,"664ea4b990f66846ba86f7a9"
"132","main_trial_32","0058.jpg",1,0,5,0,5659,"664ea4b990f66846ba86f7a9"
"133","main_trial_33","0641.jpg",5,0,6,0,8665,"664ea4b990f66846ba86f7a9"
"134","main_trial_35","0810.jpg",5,0,1,0,7648,"664ea4b990f66846ba86f7a9"
"135","main_trial_37","0961.jpg",1,0,1,0,7413,"664ea4b990f66846ba86f7a9"
"136","main_trial_38","0960.jpg",7,0,0,0,4091,"664ea4b990f66846ba86f7a9"
"137","main_trial_40","0823.jpg",2,0,1,0,6464,"664ea4b990f66846ba86f7a9"
"138","main_trial_42","0913.jpg",5,0,4,0,8330,"664ea4b990f66846ba86f7a9"
"139","main_trial_43","0958.jpg",7,0,3,0,3410,"664ea4b990f66846ba86f7a9"
"140","main_trial_44","0028.jpg",2,0,1,0,7850,"664ea4b990f66846ba86f7a9"
"141","main_trial_45","0591.jpg",5,0,3,0,10359,"664ea4b990f66846ba86f7a9"
"142","main_trial_46","0573.jpg",7,0,5,0,5327,"664ea4b990f66846ba86f7a9"
"143","main_trial_48","1068.jpg",1,0,6,0,9182,"664ea4b990f66846ba86f7a9"
"144","main_trial_49","0715.jpg",1,0,3,0,3897,"664ea4b990f66846ba86f7a9"
"145","main_trial_50","0597.jpg",3,0,4,0,6674,"664ea4b990f66846ba86f7a9"
"146","main_trial_51","0336.jpg",1,0,0,0,5585,"664ea4b990f66846ba86f7a9"
