"","exp_stage","image","response","attn","attn_index","attn_fail","rt","participant_id"
"1","main_trial_0","attn33.jpg",6,1,5,0,5227,"58d1f1038084450001956fdc"
"2","main_trial_1","attn08.jpg",5,1,4,0,2493,"58d1f1038084450001956fdc"
"3","main_trial_2","attn00.jpg",1,1,0,0,1894,"58d1f1038084450001956fdc"
"4","main_trial_3","attn25.jpg",2,1,1,0,1576,"58d1f1038084450001956fdc"
"5","main_trial_4","1069.jpg",5,0,5,0,2613,"58d1f1038084450001956fdc"
"6","main_trial_5","0233.jpg",3,0,1,0,6237,"58d1f1038084450001956fdc"
"7","main_trial_6","attn43.jpg",5,1,4,0,2544,"58d1f1038084450001956fdc"
"8","main_trial_7","0701.jpg",2,0,0,0,4259,"58d1f1038084450001956fdc"
"9","main_trial_8","0575.jpg",2,0,6,0,2070,"58d1f1038084450001956fdc"
"10","main_trial_9","0742.jpg",5,0,2,0,2045,"58d1f1038084450001956fdc"
"11","main_trial_10","attn21.jpg",4,1,3,0,2146,"58d1f1038084450001956fdc"
"12","main_trial_11","0977.jpg",5,0,6,0,3012,"58d1f1038084450001956fdc"
"13","main_trial_12","attn48.jpg",4,1,3,0,3220,"58d1f1038084450001956fdc"
"14","main_trial_13","0411.jpg",1,0,2,0,9015,"58d1f1038084450001956fdc"
"15","main_trial_14","1042.jpg",4,0,0,0,3734,"58d1f1038084450001956fdc"
"16","main_trial_15","1047.jpg",5,0,5,0,2659,"58d1f1038084450001956fdc"
"17","main_trial_16","0835.jpg",3,0,1,0,1956,"58d1f1038084450001956fdc"
"18","main_trial_17","attn14.jpg",5,1,4,0,2569,"58d1f1038084450001956fdc"
"19","main_trial_18","attn42.jpg",3,1,2,0,1571,"58d1f1038084450001956fdc"
"20","main_trial_19","0052.jpg",2,0,1,0,5441,"58d1f1038084450001956fdc"
"21","main_trial_20","0147.jpg",1,0,1,0,2586,"58d1f1038084450001956fdc"
"22","main_trial_21","attn24.jpg",6,1,5,0,2870,"58d1f1038084450001956fdc"
"23","main_trial_22","attn17.jpg",4,1,3,0,1744,"58d1f1038084450001956fdc"
"24","main_trial_23","0546.jpg",6,0,1,0,3285,"58d1f1038084450001956fdc"
