"","participant_id","exp_stage","image","position","response"
"1","669fc3e92172f8c37b23a3d1","main_trial_0","0562.jpg",1,"0"
"2","669fc3e92172f8c37b23a3d1","main_trial_0","0889.jpg",2,"1"
"3","669fc3e92172f8c37b23a3d1","main_trial_1","0084.jpg",1,"0"
"4","669fc3e92172f8c37b23a3d1","main_trial_1","0317.jpg",2,"1"
"5","669fc3e92172f8c37b23a3d1","main_trial_2","0324.jpg",1,"1"
"6","669fc3e92172f8c37b23a3d1","main_trial_2","0227.jpg",2,"0"
"7","669fc3e92172f8c37b23a3d1","main_trial_3","0748.jpg",1,"0"
"8","669fc3e92172f8c37b23a3d1","main_trial_3","0597.jpg",2,"1"
"9","669fc3e92172f8c37b23a3d1","main_trial_4","0048.jpg",1,"1"
"10","669fc3e92172f8c37b23a3d1","main_trial_4","0569.jpg",2,"0"
"11","669fc3e92172f8c37b23a3d1","main_trial_5","0848.jpg",1,"0"
"12","669fc3e92172f8c37b23a3d1","main_trial_5","0448.jpg",2,"1"
"13","669fc3e92172f8c37b23a3d1","main_trial_6","0047.jpg",1,"0"
"14","669fc3e92172f8c37b23a3d1","main_trial_6","0535.jpg",2,"1"
"15","669fc3e92172f8c37b23a3d1","main_trial_7","1053.jpg",1,"1"
"16","669fc3e92172f8c37b23a3d1","main_trial_7","0922.jpg",2,"0"
"17","669fc3e92172f8c37b23a3d1","main_trial_8","0766.jpg",1,"0"
"18","669fc3e92172f8c37b23a3d1","main_trial_8","0572.jpg",2,"1"
"19","669fc3e92172f8c37b23a3d1","main_trial_9","1068.jpg",2,"0"
"20","669fc3e92172f8c37b23a3d1","main_trial_10","0379.jpg",1,"0"
"21","669fc3e92172f8c37b23a3d1","main_trial_10","1047.jpg",2,"1"
"22","669fc3e92172f8c37b23a3d1","main_trial_11","0933.jpg",1,"1"
"23","669fc3e92172f8c37b23a3d1","main_trial_11","0076.jpg",2,"0"
"24","669fc3e92172f8c37b23a3d1","main_trial_12","0001.jpg",1,"1"
"25","669fc3e92172f8c37b23a3d1","main_trial_13","0364.jpg",1,"1"
"26","669fc3e92172f8c37b23a3d1","main_trial_13","0394.jpg",2,"0"
"27","669fc3e92172f8c37b23a3d1","main_trial_14","0753.jpg",1,"1"
"28","669fc3e92172f8c37b23a3d1","main_trial_14","0311.jpg",2,"0"
"29","669fc3e92172f8c37b23a3d1","main_trial_15","0888.jpg",1,"1"
"30","669fc3e92172f8c37b23a3d1","main_trial_15","0514.jpg",2,"0"
"31","669fc3e92172f8c37b23a3d1","main_trial_16","0378.jpg",1,"1"
"32","669fc3e92172f8c37b23a3d1","main_trial_16","0821.jpg",2,"0"
"33","669fc3e92172f8c37b23a3d1","main_trial_17","1062.jpg",2,"1"
"34","669fc3e92172f8c37b23a3d1","main_trial_18","0845.jpg",1,"1"
"35","669fc3e92172f8c37b23a3d1","main_trial_18","0224.jpg",2,"0"
"36","669fc3e92172f8c37b23a3d1","main_trial_19","0938.jpg",1,"1"
"37","669fc3e92172f8c37b23a3d1","main_trial_19","0243.jpg",2,"0"
"38","669fc3e92172f8c37b23a3d1","main_trial_20","0951.jpg",1,"0"
"39","669fc3e92172f8c37b23a3d1","main_trial_21","0503.jpg",1,"0"
"40","669fc3e92172f8c37b23a3d1","main_trial_21","0174.jpg",2,"1"
"41","669fc3e92172f8c37b23a3d1","main_trial_22","0846.jpg",1,"1"
"42","669fc3e92172f8c37b23a3d1","main_trial_22","0725.jpg",2,"0"
"43","669fc3e92172f8c37b23a3d1","main_trial_23","0319.jpg",2,"1"
"44","669fc3e92172f8c37b23a3d1","main_trial_24","0284.jpg",1,"0"
"45","669fc3e92172f8c37b23a3d1","main_trial_24","0570.jpg",2,"1"
"46","669fc3e92172f8c37b23a3d1","main_trial_25","0092.jpg",2,"0"
"47","669fc3e92172f8c37b23a3d1","main_trial_26","0674.jpg",1,"1"
"48","669fc3e92172f8c37b23a3d1","main_trial_26","0312.jpg",2,"0"
"49","669fc3e92172f8c37b23a3d1","main_trial_27","0396.jpg",1,"1"
"50","669fc3e92172f8c37b23a3d1","main_trial_27","0189.jpg",2,"0"
"51","669fc3e92172f8c37b23a3d1","main_trial_28","0756.jpg",1,"1"
"52","669fc3e92172f8c37b23a3d1","main_trial_28","0647.jpg",2,"0"
"53","669fc3e92172f8c37b23a3d1","main_trial_29","0773.jpg",2,"0"
"54","669fc3e92172f8c37b23a3d1","main_trial_30","1080.jpg",1,"0"
"55","669fc3e92172f8c37b23a3d1","main_trial_30","0571.jpg",2,"1"
"56","669fc3e92172f8c37b23a3d1","main_trial_31","1005.jpg",1,"1"
"57","669fc3e92172f8c37b23a3d1","main_trial_31","0991.jpg",2,"0"
"58","669fc3e92172f8c37b23a3d1","main_trial_32","0867.jpg",1,"1"
"59","669fc3e92172f8c37b23a3d1","main_trial_32","0286.jpg",2,"0"
"60","669fc3e92172f8c37b23a3d1","main_trial_33","0321.jpg",1,"1"
"61","669fc3e92172f8c37b23a3d1","main_trial_33","0390.jpg",2,"0"
"62","669fc3e92172f8c37b23a3d1","main_trial_34","0182.jpg",1,"1"
"63","669fc3e92172f8c37b23a3d1","main_trial_35","0744.jpg",1,"0"
"64","669fc3e92172f8c37b23a3d1","main_trial_35","0704.jpg",2,"1"
"65","669fc3e92172f8c37b23a3d1","main_trial_36","0771.jpg",1,"0"
"66","669fc3e92172f8c37b23a3d1","main_trial_36","0676.jpg",2,"1"
"67","669fc3e92172f8c37b23a3d1","main_trial_37","0722.jpg",1,"1"
"68","669fc3e92172f8c37b23a3d1","main_trial_37","0245.jpg",2,"0"
"69","669fc3e92172f8c37b23a3d1","main_trial_38","0090.jpg",1,"0"
"70","669fc3e92172f8c37b23a3d1","main_trial_38","1077.jpg",2,"1"
"71","669fc3e92172f8c37b23a3d1","main_trial_39","0760.jpg",1,"1"
"72","669fc3e92172f8c37b23a3d1","main_trial_39","0150.jpg",2,"0"
"73","669fc3e92172f8c37b23a3d1","main_trial_40","0176.jpg",1,"0"
"74","669fc3e92172f8c37b23a3d1","main_trial_40","0580.jpg",2,"1"
"75","669fc3e92172f8c37b23a3d1","main_trial_41","0403.jpg",1,"1"
"76","669fc3e92172f8c37b23a3d1","main_trial_41","0743.jpg",2,"0"
"77","669fc3e92172f8c37b23a3d1","main_trial_42","0219.jpg",1,"0"
"78","669fc3e92172f8c37b23a3d1","main_trial_42","0366.jpg",2,"1"
