"","exp_stage","image11","image12","click","attn","attn_index","attn_fail","rt","participant_id"
"1","main_trial_0","0562.jpg","0889.jpg","01",0,1,0,13017,"669fc3e92172f8c37b23a3d1"
"2","main_trial_1","0084.jpg","0317.jpg","01",0,1,0,4969,"669fc3e92172f8c37b23a3d1"
"3","main_trial_2","0324.jpg","0227.jpg","10",0,0,0,5554,"669fc3e92172f8c37b23a3d1"
"4","main_trial_3","0748.jpg","0597.jpg","01",0,0,0,7261,"669fc3e92172f8c37b23a3d1"
"5","main_trial_4","0048.jpg","0569.jpg","10",0,0,0,17629,"669fc3e92172f8c37b23a3d1"
"6","main_trial_5","0848.jpg","0448.jpg","01",0,1,0,10141,"669fc3e92172f8c37b23a3d1"
"7","main_trial_6","0047.jpg","0535.jpg","01",0,0,0,9797,"669fc3e92172f8c37b23a3d1"
"8","main_trial_7","1053.jpg","0922.jpg","10",0,1,0,9506,"669fc3e92172f8c37b23a3d1"
"9","main_trial_8","0766.jpg","0572.jpg","01",0,1,0,6867,"669fc3e92172f8c37b23a3d1"
"10","main_trial_9","attn49.jpg","1068.jpg","10",1,0,0,5586,"669fc3e92172f8c37b23a3d1"
"11","main_trial_10","0379.jpg","1047.jpg","01",0,0,0,6722,"669fc3e92172f8c37b23a3d1"
"12","main_trial_11","0933.jpg","0076.jpg","10",0,1,0,5282,"669fc3e92172f8c37b23a3d1"
"13","main_trial_12","0001.jpg","attn45.jpg","10",1,1,0,5093,"669fc3e92172f8c37b23a3d1"
"14","main_trial_13","0364.jpg","0394.jpg","10",0,0,0,5072,"669fc3e92172f8c37b23a3d1"
"15","main_trial_14","0753.jpg","0311.jpg","10",0,1,0,5595,"669fc3e92172f8c37b23a3d1"
"16","main_trial_15","0888.jpg","0514.jpg","10",0,1,0,8648,"669fc3e92172f8c37b23a3d1"
"17","main_trial_16","0378.jpg","0821.jpg","10",0,0,0,9094,"669fc3e92172f8c37b23a3d1"
"18","main_trial_17","attn15.jpg","1062.jpg","01",1,1,0,3895,"669fc3e92172f8c37b23a3d1"
"19","main_trial_18","0845.jpg","0224.jpg","10",0,1,0,5626,"669fc3e92172f8c37b23a3d1"
