"","participant_id","exp_stage","image","position","response"
"1","6638e6601cddfd62522b3913","main_trial_0","0728.jpg",1,"0"
"2","6638e6601cddfd62522b3913","main_trial_0","1042.jpg",2,"1"
"3","6638e6601cddfd62522b3913","main_trial_1","0771.jpg",1,"1"
"4","6638e6601cddfd62522b3913","main_trial_1","1097.jpg",2,"0"
"5","6638e6601cddfd62522b3913","main_trial_2","0293.jpg",1,"1"
"6","6638e6601cddfd62522b3913","main_trial_2","0968.jpg",2,"0"
"7","6638e6601cddfd62522b3913","main_trial_3","0517.jpg",1,"0"
"8","6638e6601cddfd62522b3913","main_trial_3","1041.jpg",2,"1"
"9","6638e6601cddfd62522b3913","main_trial_4","0058.jpg",2,"1"
"10","6638e6601cddfd62522b3913","main_trial_5","0494.jpg",1,"0"
"11","6638e6601cddfd62522b3913","main_trial_5","0273.jpg",2,"1"
"12","6638e6601cddfd62522b3913","main_trial_6","0584.jpg",1,"1"
"13","6638e6601cddfd62522b3913","main_trial_6","0803.jpg",2,"0"
"14","6638e6601cddfd62522b3913","main_trial_7","0744.jpg",1,"0"
"15","6638e6601cddfd62522b3913","main_trial_7","0870.jpg",2,"1"
"16","6638e6601cddfd62522b3913","main_trial_8","0522.jpg",1,"0"
"17","6638e6601cddfd62522b3913","main_trial_8","1024.jpg",2,"1"
"18","6638e6601cddfd62522b3913","main_trial_9","0493.jpg",2,"0"
"19","6638e6601cddfd62522b3913","main_trial_10","1020.jpg",1,"1"
"20","6638e6601cddfd62522b3913","main_trial_10","0104.jpg",2,"0"
"21","6638e6601cddfd62522b3913","main_trial_11","0758.jpg",2,"0"
"22","6638e6601cddfd62522b3913","main_trial_12","0172.jpg",1,"1"
"23","6638e6601cddfd62522b3913","main_trial_12","1095.jpg",2,"0"
"24","6638e6601cddfd62522b3913","main_trial_13","1034.jpg",1,"0"
"25","6638e6601cddfd62522b3913","main_trial_13","0576.jpg",2,"1"
"26","6638e6601cddfd62522b3913","main_trial_14","1100.jpg",2,"1"
"27","6638e6601cddfd62522b3913","main_trial_15","1051.jpg",1,"0"
"28","6638e6601cddfd62522b3913","main_trial_15","0120.jpg",2,"1"
"29","6638e6601cddfd62522b3913","main_trial_16","0478.jpg",2,"1"
"30","6638e6601cddfd62522b3913","main_trial_17","0126.jpg",1,"0"
"31","6638e6601cddfd62522b3913","main_trial_17","0258.jpg",2,"1"
"32","6638e6601cddfd62522b3913","main_trial_18","0822.jpg",1,"1"
"33","6638e6601cddfd62522b3913","main_trial_18","0965.jpg",2,"0"
"34","6638e6601cddfd62522b3913","main_trial_19","0455.jpg",1,"1"
"35","6638e6601cddfd62522b3913","main_trial_19","0544.jpg",2,"0"
"36","6638e6601cddfd62522b3913","main_trial_20","0987.jpg",1,"1"
"37","6638e6601cddfd62522b3913","main_trial_21","0110.jpg",1,"0"
"38","6638e6601cddfd62522b3913","main_trial_21","1025.jpg",2,"1"
"39","6638e6601cddfd62522b3913","main_trial_22","0480.jpg",2,"0"
"40","6638e6601cddfd62522b3913","main_trial_23","0815.jpg",1,"0"
"41","6638e6601cddfd62522b3913","main_trial_24","0665.jpg",1,"1"
"42","6638e6601cddfd62522b3913","main_trial_24","0841.jpg",2,"0"
"43","6638e6601cddfd62522b3913","main_trial_25","0555.jpg",1,"1"
"44","6638e6601cddfd62522b3913","main_trial_25","0947.jpg",2,"0"
"45","6638e6601cddfd62522b3913","main_trial_26","0187.jpg",1,"0"
"46","6638e6601cddfd62522b3913","main_trial_26","0847.jpg",2,"1"
"47","6638e6601cddfd62522b3913","main_trial_27","0298.jpg",1,"1"
"48","6638e6601cddfd62522b3913","main_trial_27","0807.jpg",2,"0"
"49","6638e6601cddfd62522b3913","main_trial_28","0390.jpg",1,"0"
"50","6638e6601cddfd62522b3913","main_trial_28","0159.jpg",2,"1"
"51","6638e6601cddfd62522b3913","main_trial_29","0357.jpg",1,"1"
"52","6638e6601cddfd62522b3913","main_trial_30","0329.jpg",1,"1"
"53","6638e6601cddfd62522b3913","main_trial_30","0787.jpg",2,"0"
"54","6638e6601cddfd62522b3913","main_trial_31","0202.jpg",1,"0"
"55","6638e6601cddfd62522b3913","main_trial_32","0038.jpg",1,"0"
"56","6638e6601cddfd62522b3913","main_trial_32","0580.jpg",2,"1"
"57","6638e6601cddfd62522b3913","main_trial_33","0108.jpg",1,"0"
"58","6638e6601cddfd62522b3913","main_trial_33","0313.jpg",2,"1"
"59","6638e6601cddfd62522b3913","main_trial_34","0662.jpg",1,"1"
"60","6638e6601cddfd62522b3913","main_trial_35","0705.jpg",1,"0"
"61","6638e6601cddfd62522b3913","main_trial_35","0981.jpg",2,"1"
"62","6638e6601cddfd62522b3913","main_trial_36","0840.jpg",1,"0"
"63","6638e6601cddfd62522b3913","main_trial_36","0635.jpg",2,"1"
"64","6638e6601cddfd62522b3913","main_trial_37","0047.jpg",1,"0"
"65","6638e6601cddfd62522b3913","main_trial_37","0681.jpg",2,"1"
"66","6638e6601cddfd62522b3913","main_trial_38","0084.jpg",1,"0"
"67","6638e6601cddfd62522b3913","main_trial_38","0334.jpg",2,"1"
"68","6638e6601cddfd62522b3913","main_trial_39","0125.jpg",1,"0"
"69","6638e6601cddfd62522b3913","main_trial_39","0649.jpg",2,"1"
"70","6638e6601cddfd62522b3913","main_trial_40","1082.jpg",1,"0"
"71","6638e6601cddfd62522b3913","main_trial_40","0160.jpg",2,"1"
"72","6638e6601cddfd62522b3913","main_trial_41","0520.jpg",1,"0"
"73","6638e6601cddfd62522b3913","main_trial_41","0384.jpg",2,"1"
"74","6638e6601cddfd62522b3913","main_trial_42","0177.jpg",1,"1"
"75","6638e6601cddfd62522b3913","main_trial_43","0932.jpg",1,"0"
"76","6638e6601cddfd62522b3913","main_trial_43","0694.jpg",2,"1"
"77","6638e6601cddfd62522b3913","main_trial_44","1057.jpg",1,"0"
"78","6638e6601cddfd62522b3913","main_trial_44","0627.jpg",2,"1"
"79","6638e6601cddfd62522b3913","main_trial_45","1013.jpg",2,"1"
