"","exp_stage","image11","image12","click","attn","attn_index","attn_fail","rt","participant_id"
"1","main_trial_0","0728.jpg","1042.jpg","01",0,1,0,5351,"6638e6601cddfd62522b3913"
"2","main_trial_1","0771.jpg","1097.jpg","10",0,0,0,3109,"6638e6601cddfd62522b3913"
"3","main_trial_2","0293.jpg","0968.jpg","10",0,0,0,3290,"6638e6601cddfd62522b3913"
"4","main_trial_3","0517.jpg","1041.jpg","01",0,0,0,2998,"6638e6601cddfd62522b3913"
"5","main_trial_4","attn13.jpg","0058.jpg","01",1,1,0,3597,"6638e6601cddfd62522b3913"
"6","main_trial_5","0494.jpg","0273.jpg","01",0,1,0,3346,"6638e6601cddfd62522b3913"
"7","main_trial_6","0584.jpg","0803.jpg","10",0,1,0,2519,"6638e6601cddfd62522b3913"
"8","main_trial_7","0744.jpg","0870.jpg","01",0,1,0,2328,"6638e6601cddfd62522b3913"
"9","main_trial_8","0522.jpg","1024.jpg","01",0,0,0,1635,"6638e6601cddfd62522b3913"
"10","main_trial_9","attn37.jpg","0493.jpg","10",1,0,0,2569,"6638e6601cddfd62522b3913"
"11","main_trial_10","1020.jpg","0104.jpg","10",0,1,0,3029,"6638e6601cddfd62522b3913"
"12","main_trial_11","attn43.jpg","0758.jpg","10",1,0,0,2790,"6638e6601cddfd62522b3913"
"13","main_trial_12","0172.jpg","1095.jpg","10",0,0,0,2196,"6638e6601cddfd62522b3913"
"14","main_trial_13","1034.jpg","0576.jpg","01",0,1,0,2596,"6638e6601cddfd62522b3913"
"15","main_trial_14","attn17.jpg","1100.jpg","01",1,1,0,3010,"6638e6601cddfd62522b3913"
"16","main_trial_15","1051.jpg","0120.jpg","01",0,1,0,2106,"6638e6601cddfd62522b3913"
"17","main_trial_16","attn29.jpg","0478.jpg","01",1,1,0,2536,"6638e6601cddfd62522b3913"
"18","main_trial_17","0126.jpg","0258.jpg","01",0,1,0,2227,"6638e6601cddfd62522b3913"
"19","main_trial_18","0822.jpg","0965.jpg","10",0,0,0,2150,"6638e6601cddfd62522b3913"
"20","main_trial_19","0455.jpg","0544.jpg","10",0,0,0,2005,"6638e6601cddfd62522b3913"
"21","main_trial_20","0987.jpg","attn12.jpg","10",1,1,0,2501,"6638e6601cddfd62522b3913"
"22","main_trial_21","0110.jpg","1025.jpg","01",0,0,0,2197,"6638e6601cddfd62522b3913"
"23","main_trial_22","attn45.jpg","0480.jpg","10",1,0,0,2933,"6638e6601cddfd62522b3913"
"24","main_trial_23","0815.jpg","attn35.jpg","01",1,0,0,2419,"6638e6601cddfd62522b3913"
"25","main_trial_24","0665.jpg","0841.jpg","10",0,0,0,2388,"6638e6601cddfd62522b3913"
"26","main_trial_25","0555.jpg","0947.jpg","10",0,0,0,2045,"6638e6601cddfd62522b3913"
"27","main_trial_26","0187.jpg","0847.jpg","01",0,1,0,2238,"6638e6601cddfd62522b3913"
"28","main_trial_27","0298.jpg","0807.jpg","10",0,1,0,2246,"6638e6601cddfd62522b3913"
"29","main_trial_28","0390.jpg","0159.jpg","01",0,0,0,2427,"6638e6601cddfd62522b3913"
"30","main_trial_29","0357.jpg","attn48.jpg","10",1,1,0,2498,"6638e6601cddfd62522b3913"
"31","main_trial_30","0329.jpg","0787.jpg","10",0,1,0,2360,"6638e6601cddfd62522b3913"
"32","main_trial_31","0202.jpg","attn44.jpg","01",1,0,0,2308,"6638e6601cddfd62522b3913"
"33","main_trial_32","0038.jpg","0580.jpg","01",0,0,0,1914,"6638e6601cddfd62522b3913"
"34","main_trial_33","0108.jpg","0313.jpg","01",0,0,0,2077,"6638e6601cddfd62522b3913"
"35","main_trial_34","0662.jpg","attn05.jpg","10",1,1,0,2542,"6638e6601cddfd62522b3913"
"36","main_trial_35","0705.jpg","0981.jpg","01",0,0,0,1728,"6638e6601cddfd62522b3913"
"37","main_trial_36","0840.jpg","0635.jpg","01",0,1,0,2519,"6638e6601cddfd62522b3913"
"38","main_trial_37","0047.jpg","0681.jpg","01",0,0,0,1968,"6638e6601cddfd62522b3913"
"39","main_trial_38","0084.jpg","0334.jpg","01",0,1,0,3240,"6638e6601cddfd62522b3913"
"40","main_trial_39","0125.jpg","0649.jpg","01",0,1,0,2136,"6638e6601cddfd62522b3913"
"41","main_trial_40","1082.jpg","0160.jpg","01",0,0,0,1763,"6638e6601cddfd62522b3913"
"42","main_trial_41","0520.jpg","0384.jpg","01",0,1,0,1675,"6638e6601cddfd62522b3913"
