"","exp_stage","image","slider_start","response","attn","attn_index","attn_fail","rt","participant_id"
"1","main_trial_0","attn22.jpg",23,0,1,0,0,3980,"669fb527862c157e4d374b95"
"2","main_trial_1","0447.jpg",97,0,0,0,0,4067,"669fb527862c157e4d374b95"
"3","main_trial_2","0985.jpg",9,100,0,0,0,4999,"669fb527862c157e4d374b95"
"4","main_trial_3","attn04.jpg",36,100,1,1,0,5406,"669fb527862c157e4d374b95"
"5","main_trial_4","0716.jpg",4,11,0,0,0,15144,"669fb527862c157e4d374b95"
"6","main_trial_5","0521.jpg",33,10,0,0,0,11760,"669fb527862c157e4d374b95"
"7","main_trial_6","attn29.jpg",46,0,1,0,0,4103,"669fb527862c157e4d374b95"
"8","main_trial_7","0119.jpg",76,17,0,0,0,4281,"669fb527862c157e4d374b95"
"9","main_trial_8","0911.jpg",70,100,0,0,0,4052,"669fb527862c157e4d374b95"
"10","main_trial_9","0697.jpg",8,3,0,1,0,4517,"669fb527862c157e4d374b95"
"11","main_trial_10","0626.jpg",6,92,0,1,0,6988,"669fb527862c157e4d374b95"
"12","main_trial_11","1010.jpg",28,92,0,0,0,6832,"669fb527862c157e4d374b95"
"13","main_trial_12","0468.jpg",53,94,0,1,0,11184,"669fb527862c157e4d374b95"
"14","main_trial_13","attn05.jpg",28,100,1,1,0,3773,"669fb527862c157e4d374b95"
"15","main_trial_14","0553.jpg",48,96,0,1,0,4454,"669fb527862c157e4d374b95"
"16","main_trial_15","0512.jpg",1,0,0,1,0,7716,"669fb527862c157e4d374b95"
"17","main_trial_16","0248.jpg",24,0,0,1,0,5541,"669fb527862c157e4d374b95"
"18","main_trial_17","0312.jpg",65,100,0,0,0,5655,"669fb527862c157e4d374b95"
"19","main_trial_18","0943.jpg",18,7,0,0,0,7131,"669fb527862c157e4d374b95"
"20","main_trial_19","1040.jpg",25,16,0,0,0,7693,"669fb527862c157e4d374b95"
"21","main_trial_20","0276.jpg",43,8,0,1,0,5927,"669fb527862c157e4d374b95"
"22","main_trial_21","0675.jpg",8,72,0,0,0,8782,"669fb527862c157e4d374b95"
"23","main_trial_22","1071.jpg",89,4,0,0,0,4272,"669fb527862c157e4d374b95"
"24","main_trial_23","0972.jpg",55,95,0,0,0,4388,"669fb527862c157e4d374b95"
"25","main_trial_24","0278.jpg",90,6,0,0,0,4316,"669fb527862c157e4d374b95"
"26","main_trial_25","1000.jpg",13,10,0,1,0,3912,"669fb527862c157e4d374b95"
"27","main_trial_26","0474.jpg",56,94,0,0,0,3406,"669fb527862c157e4d374b95"
"28","main_trial_27","attn25.jpg",38,0,1,0,0,3461,"669fb527862c157e4d374b95"
"29","main_trial_28","0366.jpg",74,94,0,0,0,5998,"669fb527862c157e4d374b95"
"30","main_trial_29","attn03.jpg",0,0,1,0,0,3569,"669fb527862c157e4d374b95"
"31","main_trial_30","attn34.jpg",89,0,1,0,0,3371,"669fb527862c157e4d374b95"
"32","main_trial_31","0113.jpg",48,6,0,1,0,3582,"669fb527862c157e4d374b95"
"33","main_trial_32","0685.jpg",49,10,0,0,0,2665,"669fb527862c157e4d374b95"
"34","main_trial_33","0024.jpg",62,5,0,0,0,3725,"669fb527862c157e4d374b95"
"35","main_trial_34","0635.jpg",52,6,0,0,0,3566,"669fb527862c157e4d374b95"
"36","main_trial_35","0271.jpg",99,5,0,0,0,3761,"669fb527862c157e4d374b95"
"37","main_trial_36","0608.jpg",43,3,0,0,0,3525,"669fb527862c157e4d374b95"
"38","main_trial_37","0338.jpg",79,5,0,0,0,3762,"669fb527862c157e4d374b95"
"39","main_trial_38","attn39.jpg",75,0,1,0,0,3032,"669fb527862c157e4d374b95"
"40","main_trial_39","0185.jpg",84,6,0,1,0,5331,"669fb527862c157e4d374b95"
"41","main_trial_40","0055.jpg",79,6,0,0,0,3627,"669fb527862c157e4d374b95"
"42","main_trial_41","1037.jpg",85,6,0,0,0,4819,"669fb527862c157e4d374b95"
"43","main_trial_42","0852.jpg",48,7,0,1,0,3754,"669fb527862c157e4d374b95"
"44","main_trial_43","0260.jpg",37,100,0,0,0,3414,"669fb527862c157e4d374b95"
"45","main_trial_44","0893.jpg",70,100,0,0,0,3029,"669fb527862c157e4d374b95"
"46","main_trial_45","0305.jpg",52,100,0,0,0,3296,"669fb527862c157e4d374b95"
"47","main_trial_46","1017.jpg",11,94,0,1,0,3207,"669fb527862c157e4d374b95"
"48","main_trial_47","0748.jpg",38,3,0,1,0,2838,"669fb527862c157e4d374b95"
"49","main_trial_48","0549.jpg",29,31,0,0,0,8818,"669fb527862c157e4d374b95"
"50","main_trial_49","attn49.jpg",91,0,1,0,0,4059,"669fb527862c157e4d374b95"
"51","main_trial_50","0418.jpg",67,100,0,0,0,5535,"669fb527862c157e4d374b95"
"52","main_trial_51","0793.jpg",96,100,0,0,0,3216,"669fb527862c157e4d374b95"
"53","main_trial_52","attn35.jpg",81,100,1,1,0,3072,"669fb527862c157e4d374b95"
"54","main_trial_53","attn31.jpg",45,100,1,1,0,5486,"669fb527862c157e4d374b95"
"55","main_trial_54","attn45.jpg",63,100,1,1,0,3518,"669fb527862c157e4d374b95"
"56","main_trial_55","attn37.jpg",45,100,1,1,0,3280,"669fb527862c157e4d374b95"
"57","main_trial_56","0219.jpg",37,6,0,1,0,3195,"669fb527862c157e4d374b95"
"58","main_trial_57","0908.jpg",84,10,0,1,0,3215,"669fb527862c157e4d374b95"
"59","main_trial_58","attn17.jpg",84,100,1,1,0,2985,"669fb527862c157e4d374b95"
"60","main_trial_59","attn14.jpg",98,100,1,1,0,3683,"669fb527862c157e4d374b95"
"61","main_trial_60","0096.jpg",38,6,0,0,0,3358,"669fb527862c157e4d374b95"
"62","main_trial_61","0294.jpg",16,100,0,0,0,3420,"669fb527862c157e4d374b95"
"63","main_trial_62","0996.jpg",98,100,0,0,0,5295,"669fb527862c157e4d374b95"
"64","main_trial_63","0690.jpg",99,7,0,0,0,3711,"669fb527862c157e4d374b95"
"65","main_trial_64","0141.jpg",15,7,0,0,0,3007,"669fb527862c157e4d374b95"
"66","main_trial_65","0576.jpg",11,92,0,1,0,5069,"669fb527862c157e4d374b95"
"67","main_trial_66","attn18.jpg",86,100,1,1,0,2952,"669fb527862c157e4d374b95"
"68","main_trial_67","0147.jpg",12,5,0,1,0,4257,"669fb527862c157e4d374b95"
"69","main_trial_68","0128.jpg",14,5,0,0,0,33784,"669fb527862c157e4d374b95"
"70","main_trial_69","0637.jpg",55,100,0,0,0,6493,"669fb527862c157e4d374b95"
"71","main_trial_70","0150.jpg",32,4,0,0,0,2646,"669fb527862c157e4d374b95"
"72","main_trial_71","attn07.jpg",60,0,1,0,0,2605,"669fb527862c157e4d374b95"
"73","main_trial_72","0627.jpg",57,7,0,1,0,2945,"669fb527862c157e4d374b95"
"74","main_trial_73","0348.jpg",54,4,0,1,0,4122,"669fb527862c157e4d374b95"
"75","main_trial_74","attn15.jpg",52,0,1,0,0,2533,"669fb527862c157e4d374b95"
"76","main_trial_75","0963.jpg",22,100,0,0,0,3179,"669fb527862c157e4d374b95"
"77","main_trial_76","1103.jpg",65,94,0,0,0,3811,"669fb527862c157e4d374b95"
"78","main_trial_77","0599.jpg",75,96,0,1,0,4222,"669fb527862c157e4d374b95"
"79","main_trial_78","0424.jpg",91,100,0,0,0,3811,"669fb527862c157e4d374b95"
"80","main_trial_79","0395.jpg",55,5,0,0,0,3323,"669fb527862c157e4d374b95"
"81","main_trial_80","0844.jpg",55,97,0,0,0,3448,"669fb527862c157e4d374b95"
"82","main_trial_81","0180.jpg",97,0,0,1,0,4579,"669fb527862c157e4d374b95"
"83","main_trial_82","0045.jpg",79,0,0,1,0,16277,"669fb527862c157e4d374b95"
"84","main_trial_83","1090.jpg",90,10,0,0,0,4009,"669fb527862c157e4d374b95"
"85","main_trial_84","attn32.jpg",1,100,1,1,0,3392,"669fb527862c157e4d374b95"
"86","main_trial_85","0192.jpg",24,0,0,1,0,3197,"669fb527862c157e4d374b95"
"87","main_trial_86","attn16.jpg",10,100,1,1,0,2868,"669fb527862c157e4d374b95"
"88","main_trial_87","0246.jpg",49,5,0,0,0,2938,"669fb527862c157e4d374b95"
"89","main_trial_88","0212.jpg",95,0,0,1,0,3979,"669fb527862c157e4d374b95"
"90","main_trial_89","0101.jpg",84,0,0,1,0,2761,"669fb527862c157e4d374b95"
"91","main_trial_90","0292.jpg",72,0,0,1,0,5940,"669fb527862c157e4d374b95"
"92","main_trial_91","0047.jpg",20,0,0,1,0,3421,"669fb527862c157e4d374b95"
"93","main_trial_92","0516.jpg",100,100,0,0,0,5649,"669fb527862c157e4d374b95"
"94","main_trial_93","attn09.jpg",79,0,1,0,0,2668,"669fb527862c157e4d374b95"
"95","main_trial_94","0936.jpg",46,100,0,0,0,3379,"669fb527862c157e4d374b95"
"96","main_trial_95","0851.jpg",52,93,0,1,0,14320,"669fb527862c157e4d374b95"
"97","main_trial_96","1063.jpg",73,0,0,1,0,3741,"669fb527862c157e4d374b95"
"98","main_trial_97","attn40.jpg",8,100,1,1,0,3116,"669fb527862c157e4d374b95"
"99","main_trial_98","0283.jpg",8,0,0,1,0,7021,"669fb527862c157e4d374b95"
"100","main_trial_99","0557.jpg",89,97,0,1,0,4458,"669fb527862c157e4d374b95"
"101","main_trial_100","0075.jpg",76,4,0,0,0,3766,"669fb527862c157e4d374b95"
"102","main_trial_101","0458.jpg",42,4,0,0,0,4544,"669fb527862c157e4d374b95"
"103","main_trial_102","0460.jpg",37,95,0,1,0,3818,"669fb527862c157e4d374b95"
"104","main_trial_103","attn00.jpg",3,0,1,0,0,3429,"669fb527862c157e4d374b95"
"105","main_trial_104","0166.jpg",27,0,0,1,0,5841,"669fb527862c157e4d374b95"
"106","main_trial_105","attn46.jpg",11,0,1,0,0,2625,"669fb527862c157e4d374b95"
"107","main_trial_106","0802.jpg",14,0,0,1,0,4414,"669fb527862c157e4d374b95"
"108","main_trial_107","0838.jpg",29,100,0,0,0,4883,"669fb527862c157e4d374b95"
"109","main_trial_108","0182.jpg",59,0,0,1,0,3450,"669fb527862c157e4d374b95"
"110","main_trial_109","1059.jpg",81,97,0,1,0,3585,"669fb527862c157e4d374b95"
"111","main_trial_110","attn23.jpg",19,100,1,1,0,2539,"669fb527862c157e4d374b95"
"112","main_trial_111","0767.jpg",9,4,0,0,0,3259,"669fb527862c157e4d374b95"
"113","main_trial_112","0543.jpg",35,7,0,0,0,3337,"669fb527862c157e4d374b95"
"114","main_trial_113","1002.jpg",50,100,0,0,0,2633,"669fb527862c157e4d374b95"
"115","main_trial_114","0528.jpg",45,5,0,0,0,3058,"669fb527862c157e4d374b95"
"116","main_trial_115","0410.jpg",98,100,0,0,0,6763,"669fb527862c157e4d374b95"
"117","main_trial_116","attn41.jpg",16,100,1,1,0,7425,"669fb527862c157e4d374b95"
"118","main_trial_117","0722.jpg",88,97,0,1,0,4925,"669fb527862c157e4d374b95"
"119","main_trial_118","0734.jpg",45,93,0,1,0,2894,"669fb527862c157e4d374b95"
"120","main_trial_119","0519.jpg",67,0,0,1,0,3337,"669fb527862c157e4d374b95"
"121","main_trial_120","0598.jpg",39,100,0,0,0,3116,"669fb527862c157e4d374b95"
