"","exp_stage","image","slider_start","response","attn","attn_index","attn_fail","rt","participant_id"
"1","main_trial_0","0897.jpg",67,84,0,1,0,5961,"674630de2a080d75abfa64d0"
"2","main_trial_1","attn26.jpg",62,0,1,0,0,3523,"674630de2a080d75abfa64d0"
"3","main_trial_2","0578.jpg",99,96,0,0,0,5080,"674630de2a080d75abfa64d0"
"4","main_trial_3","0346.jpg",96,72,0,1,0,3209,"674630de2a080d75abfa64d0"
"5","main_trial_4","0158.jpg",51,59,0,0,0,3385,"674630de2a080d75abfa64d0"
"6","main_trial_5","attn32.jpg",30,100,1,1,0,3364,"674630de2a080d75abfa64d0"
"7","main_trial_6","0986.jpg",67,81,0,1,0,4195,"674630de2a080d75abfa64d0"
"8","main_trial_7","0912.jpg",39,73,0,1,0,4077,"674630de2a080d75abfa64d0"
"9","main_trial_8","0949.jpg",11,100,0,0,0,4616,"674630de2a080d75abfa64d0"
"10","main_trial_9","0408.jpg",33,85,0,1,0,3889,"674630de2a080d75abfa64d0"
"11","main_trial_10","0440.jpg",66,50,0,1,0,3778,"674630de2a080d75abfa64d0"
"12","main_trial_11","1089.jpg",30,84,0,0,0,3126,"674630de2a080d75abfa64d0"
"13","main_trial_12","0802.jpg",25,100,0,1,0,3423,"674630de2a080d75abfa64d0"
"14","main_trial_13","0100.jpg",18,13,0,1,0,3098,"674630de2a080d75abfa64d0"
"15","main_trial_14","1019.jpg",15,100,0,0,0,3480,"674630de2a080d75abfa64d0"
"16","main_trial_15","0812.jpg",27,46,0,0,0,2880,"674630de2a080d75abfa64d0"
"17","main_trial_16","0529.jpg",74,82,0,0,0,2816,"674630de2a080d75abfa64d0"
"18","main_trial_17","attn27.jpg",69,0,1,0,0,3679,"674630de2a080d75abfa64d0"
"19","main_trial_18","0632.jpg",41,56,0,1,0,2785,"674630de2a080d75abfa64d0"
"20","main_trial_19","attn14.jpg",52,0,1,0,0,3336,"674630de2a080d75abfa64d0"
"21","main_trial_20","attn41.jpg",40,0,1,0,0,5944,"674630de2a080d75abfa64d0"
"22","main_trial_21","0162.jpg",37,27,0,0,0,2814,"674630de2a080d75abfa64d0"
"23","main_trial_22","0271.jpg",80,55,0,0,0,3868,"674630de2a080d75abfa64d0"
"24","main_trial_23","0442.jpg",88,34,0,0,0,3429,"674630de2a080d75abfa64d0"
"25","main_trial_24","0374.jpg",56,37,0,1,0,2478,"674630de2a080d75abfa64d0"
"26","main_trial_25","attn47.jpg",12,100,1,1,0,4113,"674630de2a080d75abfa64d0"
"27","main_trial_26","0012.jpg",50,26,0,0,0,3445,"674630de2a080d75abfa64d0"
"28","main_trial_27","0526.jpg",75,64,0,0,0,3567,"674630de2a080d75abfa64d0"
"29","main_trial_28","0612.jpg",35,100,0,1,0,2985,"674630de2a080d75abfa64d0"
"30","main_trial_29","0676.jpg",41,63,0,0,0,2763,"674630de2a080d75abfa64d0"
"31","main_trial_30","0946.jpg",36,60,0,1,0,2693,"674630de2a080d75abfa64d0"
"32","main_trial_31","0655.jpg",84,61,0,1,0,2976,"674630de2a080d75abfa64d0"
"33","main_trial_32","attn13.jpg",15,0,1,0,0,3415,"674630de2a080d75abfa64d0"
"34","main_trial_33","0660.jpg",13,8,0,0,0,3185,"674630de2a080d75abfa64d0"
"35","main_trial_34","1071.jpg",86,32,0,1,0,3420,"674630de2a080d75abfa64d0"
"36","main_trial_35","0940.jpg",5,26,0,0,0,2624,"674630de2a080d75abfa64d0"
"37","main_trial_36","0846.jpg",6,88,0,1,0,3595,"674630de2a080d75abfa64d0"
"38","main_trial_37","0683.jpg",80,100,0,1,0,3367,"674630de2a080d75abfa64d0"
"39","main_trial_38","0314.jpg",10,100,0,1,0,3566,"674630de2a080d75abfa64d0"
"40","main_trial_39","0542.jpg",59,47,0,0,0,3279,"674630de2a080d75abfa64d0"
"41","main_trial_40","0599.jpg",13,55,0,1,0,3631,"674630de2a080d75abfa64d0"
"42","main_trial_41","0780.jpg",6,54,0,0,0,3534,"674630de2a080d75abfa64d0"
"43","main_trial_42","attn00.jpg",23,100,1,1,0,3422,"674630de2a080d75abfa64d0"
"44","main_trial_43","0555.jpg",11,41,0,1,0,3779,"674630de2a080d75abfa64d0"
"45","main_trial_44","0587.jpg",37,52,0,1,0,4455,"674630de2a080d75abfa64d0"
"46","main_trial_45","0406.jpg",43,86,0,1,0,3155,"674630de2a080d75abfa64d0"
"47","main_trial_46","attn44.jpg",22,100,1,1,0,3381,"674630de2a080d75abfa64d0"
"48","main_trial_47","attn19.jpg",49,0,1,0,0,3154,"674630de2a080d75abfa64d0"
"49","main_trial_48","0849.jpg",63,53,0,0,0,2750,"674630de2a080d75abfa64d0"
"50","main_trial_49","0774.jpg",90,33,0,1,0,3421,"674630de2a080d75abfa64d0"
"51","main_trial_50","0764.jpg",7,77,0,1,0,3538,"674630de2a080d75abfa64d0"
"52","main_trial_51","0125.jpg",43,29,0,0,0,3898,"674630de2a080d75abfa64d0"
"53","main_trial_52","0009.jpg",57,70,0,1,0,3770,"674630de2a080d75abfa64d0"
"54","main_trial_53","1055.jpg",1,28,0,1,0,3433,"674630de2a080d75abfa64d0"
"55","main_trial_54","0827.jpg",16,42,0,0,0,3519,"674630de2a080d75abfa64d0"
"56","main_trial_55","0803.jpg",4,62,0,0,0,2889,"674630de2a080d75abfa64d0"
"57","main_trial_56","0575.jpg",72,61,0,1,0,2823,"674630de2a080d75abfa64d0"
"58","main_trial_57","0247.jpg",40,51,0,0,0,2748,"674630de2a080d75abfa64d0"
"59","main_trial_58","0456.jpg",56,89,0,1,0,3041,"674630de2a080d75abfa64d0"
"60","main_trial_59","0569.jpg",31,53,0,1,0,2834,"674630de2a080d75abfa64d0"
"61","main_trial_60","0550.jpg",5,80,0,1,0,3972,"674630de2a080d75abfa64d0"
"62","main_trial_61","0965.jpg",22,35,0,0,0,4925,"674630de2a080d75abfa64d0"
"63","main_trial_62","attn36.jpg",46,0,1,0,0,4151,"674630de2a080d75abfa64d0"
"64","main_trial_63","0865.jpg",43,37,0,0,0,2980,"674630de2a080d75abfa64d0"
"65","main_trial_64","0907.jpg",95,22,0,0,0,3873,"674630de2a080d75abfa64d0"
"66","main_trial_65","attn18.jpg",83,100,1,1,0,3540,"674630de2a080d75abfa64d0"
"67","main_trial_66","0047.jpg",39,39,0,0,0,3513,"674630de2a080d75abfa64d0"
"68","main_trial_67","0352.jpg",15,47,0,1,0,2857,"674630de2a080d75abfa64d0"
"69","main_trial_68","0960.jpg",54,71,0,0,0,2716,"674630de2a080d75abfa64d0"
"70","main_trial_69","0801.jpg",80,67,0,0,0,2850,"674630de2a080d75abfa64d0"
"71","main_trial_70","0964.jpg",82,61,0,0,0,3003,"674630de2a080d75abfa64d0"
"72","main_trial_71","attn08.jpg",51,0,1,0,0,3329,"674630de2a080d75abfa64d0"
"73","main_trial_72","attn10.jpg",12,0,1,0,0,3443,"674630de2a080d75abfa64d0"
"74","main_trial_73","0524.jpg",21,33,0,0,0,2680,"674630de2a080d75abfa64d0"
"75","main_trial_74","0074.jpg",3,28,0,1,0,2974,"674630de2a080d75abfa64d0"
"76","main_trial_75","0296.jpg",94,45,0,1,0,3240,"674630de2a080d75abfa64d0"
"77","main_trial_76","1029.jpg",58,66,0,1,0,3222,"674630de2a080d75abfa64d0"
"78","main_trial_77","1003.jpg",20,90,0,1,0,3753,"674630de2a080d75abfa64d0"
"79","main_trial_78","0675.jpg",47,55,0,0,0,4220,"674630de2a080d75abfa64d0"
"80","main_trial_79","attn16.jpg",25,0,1,0,0,3593,"674630de2a080d75abfa64d0"
"81","main_trial_80","1074.jpg",55,38,0,0,0,3080,"674630de2a080d75abfa64d0"
"82","main_trial_81","0571.jpg",51,68,0,1,0,2667,"674630de2a080d75abfa64d0"
"83","main_trial_82","attn49.jpg",7,100,1,1,0,3582,"674630de2a080d75abfa64d0"
"84","main_trial_83","attn46.jpg",8,100,1,1,0,4382,"674630de2a080d75abfa64d0"
"85","main_trial_84","0129.jpg",2,14,0,1,0,3815,"674630de2a080d75abfa64d0"
"86","main_trial_85","attn23.jpg",77,100,1,1,0,3190,"674630de2a080d75abfa64d0"
"87","main_trial_86","0613.jpg",96,91,0,1,0,3210,"674630de2a080d75abfa64d0"
"88","main_trial_87","1046.jpg",51,91,0,0,0,3043,"674630de2a080d75abfa64d0"
"89","main_trial_88","attn39.jpg",16,0,1,0,0,3993,"674630de2a080d75abfa64d0"
"90","main_trial_89","attn34.jpg",81,0,1,0,0,3918,"674630de2a080d75abfa64d0"
"91","main_trial_90","attn07.jpg",89,100,1,1,0,3483,"674630de2a080d75abfa64d0"
"92","main_trial_91","0504.jpg",85,63,0,0,0,3541,"674630de2a080d75abfa64d0"
"93","main_trial_92","0884.jpg",3,77,0,0,0,3573,"674630de2a080d75abfa64d0"
"94","main_trial_93","1067.jpg",79,84,0,0,0,2892,"674630de2a080d75abfa64d0"
"95","main_trial_94","0350.jpg",38,100,0,0,0,3121,"674630de2a080d75abfa64d0"
"96","main_trial_95","0071.jpg",51,28,0,1,0,3329,"674630de2a080d75abfa64d0"
"97","main_trial_96","0078.jpg",76,25,0,0,0,3208,"674630de2a080d75abfa64d0"
"98","main_trial_97","0175.jpg",69,22,0,1,0,3401,"674630de2a080d75abfa64d0"
"99","main_trial_98","0176.jpg",63,31,0,1,0,3394,"674630de2a080d75abfa64d0"
"100","main_trial_99","0473.jpg",35,100,0,0,0,3672,"674630de2a080d75abfa64d0"
"101","main_trial_100","0641.jpg",24,46,0,0,0,2753,"674630de2a080d75abfa64d0"
"102","main_trial_101","0948.jpg",75,43,0,0,0,2886,"674630de2a080d75abfa64d0"
"103","main_trial_102","0711.jpg",6,90,0,1,0,3451,"674630de2a080d75abfa64d0"
"104","main_trial_103","1076.jpg",61,80,0,1,0,2547,"674630de2a080d75abfa64d0"
"105","main_trial_104","1011.jpg",67,55,0,0,0,2848,"674630de2a080d75abfa64d0"
"106","main_trial_105","0206.jpg",81,22,0,0,0,3569,"674630de2a080d75abfa64d0"
"107","main_trial_106","0239.jpg",98,24,0,0,0,3998,"674630de2a080d75abfa64d0"
"108","main_trial_107","attn09.jpg",72,0,1,0,0,3593,"674630de2a080d75abfa64d0"
"109","main_trial_108","attn42.jpg",66,100,1,1,0,3228,"674630de2a080d75abfa64d0"
"110","main_trial_109","attn24.jpg",62,100,1,1,0,3712,"674630de2a080d75abfa64d0"
"111","main_trial_110","0272.jpg",53,81,0,0,0,4021,"674630de2a080d75abfa64d0"
"112","main_trial_111","0905.jpg",29,66,0,1,0,3506,"674630de2a080d75abfa64d0"
"113","main_trial_112","0195.jpg",14,29,0,0,0,3144,"674630de2a080d75abfa64d0"
"114","main_trial_113","0167.jpg",40,24,0,0,0,3180,"674630de2a080d75abfa64d0"
"115","main_trial_114","0740.jpg",80,53,0,1,0,2756,"674630de2a080d75abfa64d0"
"116","main_trial_115","0073.jpg",99,30,0,0,0,4262,"674630de2a080d75abfa64d0"
"117","main_trial_116","0462.jpg",52,41,0,0,0,2558,"674630de2a080d75abfa64d0"
